"Rank","City","County","Population","Vantage Score"
"117","Burlington","Skagit County","15424","688"
"118","Benton City","Benton County","10052","688"
"119","Graham","Pierce County","27111","687"
"120","Winlock","Lewis County","6640","687"
"121","Quincy","Grant County","12706","686"
"122","Kent","King County","161339","686"
"123","Rochester","Thurston County","13199","685"
"124","Shelton","Mason County","37422","683"
"125","Orting","Pierce County","13639","683"
"126","Mattawa","Grant County","9564","683"
"127","Moxee","Yakima County","6289","683"
"128","Marysville","Snohomish County","79974","682"
"129","Pasco","Franklin County","79910","682"
"130","Moses Lake","Grant County","42794","682"
"131","Belfair","Mason County","10138","682"
"132","Bremerton","Kitsap County","91345","681"
"133","Longview","Cowlitz County","50155","680"
"134","Lacey","Thurston County","38976","679"
"135","Sumner","Pierce County","10869","679"
"136","Everett","Snohomish County","164992","679"
"137","Othello","Adams County","18198","678"
"138","Roy","Pierce County","11461","678"
"139","Omak","Okanogan County","9682","678"
"140","Yakima","Yakima County","133266","677"
"141","Forks","Jefferson County","6524","677"
"142","Elma","Grays Harbor County","10775","676"
"143","Granite Falls","Snohomish County","9410","676"
"144","Connell","Franklin County","5149","676"
"145","Centralia","Lewis County","25337","675"
"146","Grandview","Yakima County","15639","675"
"147","Hoquiam","Grays Harbor County","11531","675"
"148","Sultan","Snohomish County","6747","675"
"149","Federal Way","King County","97205","674"
"150","Kelso","Cowlitz County","25115","673"
