"Rank","City","County","State","VantageScore 3.0 Credit Score",""
"95","Estacada","Clackamas County","Oregon","694",""
"96","Welches","Clackamas County","Oregon","694",""
"97","Eagle Point","Jackson County","Oregon","694",""
"98","Junction City","Lane County","Oregon","694",""
"99","Rogue River","Jackson County","Oregon","694",""
"100","Rhododendron","Clackamas County","Oregon","693",""
"101","Albany","Linn County","Oregon","693",""
"102","Alsea","Benton County","Oregon","693",""
"103","Central Point","Jackson County","Oregon","693",""
"104","Tangent","Linn County","Oregon","693",""
"105","Roseburg","Douglas County","Oregon","693",""
"106","Coquille","Coos County","Oregon","693",""
"107","Forest Grove","Washington County","Oregon","692",""
"108","Lowell","Lane County","Oregon","692",""
"109","Gold Hill","Jackson County","Oregon","692",""
"110","Amity","Yamhill County","Oregon","692",""
"111","Jefferson","Marion County","Oregon","691",""
"112","Port Orford","Curry County","Oregon","691",""
"113","Brookings","Curry County","Oregon","691",""
"114","Monmouth","Polk County","Oregon","690",""
"115","Astoria","Clatsop County","Oregon","689",""
"116","Echo","Umatilla County","Oregon","689",""
"117","Clatskanie","Columbia County","Oregon","688",""
"118","Baker City","Baker County","Oregon","688",""
"119","Newport","Lincoln County","Oregon","688",""
"120","Tillamook","Tillamook County","Oregon","688",""
"121","Grants Pass","Josephine County","Oregon","687",""
"122","Eagle Creek","Clackamas County","Oregon","687",""
"123","Redmond","Deschutes County","Oregon","686",""
"124","Mcminnville","Yamhill County","Oregon","686",""
"125","North Bend","Coos County","Oregon","686",""
"126","Culver","Jefferson County","Oregon","686",""
"127","Harrisburg","Linn County","Oregon","686",""
"128","Medford","Jackson County","Oregon","686",""
"129","Lakeview","Lake County","Oregon","685",""
"130","Mount Angel","Marion County","Oregon","685",""
"131","Myrtle Point","Coos County","Oregon","685",""
"132","Gresham","Multnomah County","Oregon","685",""
"133","Phoenix","Jackson County","Oregon","685",""
"134","Warrenton","Clatsop County","Oregon","685",""
"135","La Grande","Union County","Oregon","685",""
"136","Stayton","Marion County","Oregon","684",""
"137","Lebanon","Linn County","Oregon","684",""
"138","Prineville","Crook County","Oregon","684",""
"139","Bonanza","Klamath County","Oregon","684",""
"140","Christmas Valley","Lake County","Oregon","684",""
"141","Aumsville","Marion County","Oregon","684",""
"142","Burns","Harney County","Oregon","684",""
"143","Troutdale","Multnomah County","Oregon","684",""
"144","Trail","Jackson County","Oregon","683",""
"145","Vernonia","Columbia County","Oregon","683",""
"146","Cottage Grove","Lane County","Oregon","683",""
"147","Union","Union County","Oregon","683",""
"148","Gladstone","Clackamas County","Oregon","682",""
"149","Molalla","Clackamas County","Oregon","682",""
"150","Toledo","Lincoln County","Oregon","682",""
"151","Dayton","Yamhill County","Oregon","681",""
"152","Yoncalla","Douglas County","Oregon","681",""
"153","Pilot Rock","Umatilla County","Oregon","681",""
"154","Cornelius","Washington County","Oregon","681",""
"155","Lincoln City","Lincoln County","Oregon","681",""
"156","The Dalles","Wasco County","Oregon","681",""
"157","Springfield","Lane County","Oregon","680",""
"158","Reedsport","Douglas County","Oregon","680",""
"159","Salem","Marion County","Oregon","680",""
"160","Lakeside","Coos County","Oregon","680",""
"161","Sutherlin","Douglas County","Oregon","680",""
"162","Malin","Klamath County","Oregon","679",""
"163","Stanfield","Umatilla County","Oregon","679",""
"164","Weston","Umatilla County","Oregon","679",""
"165","Merrill","Klamath County","Oregon","679",""
"166","Rainier","Columbia County","Oregon","679",""
"167","Saint Helens","Columbia County","Oregon","679",""
"168","Shady Cove","Jackson County","Oregon","679",""
"169","Selma","Josephine County","Oregon","679",""
"170","Pendleton","Umatilla County","Oregon","678",""
"171","Hermiston","Umatilla County","Oregon","678",""
"172","Hubbard","Marion County","Oregon","678",""
"173","Milton Freewater","Umatilla County","Oregon","678",""
"174","Siletz","Lincoln County","Oregon","678",""
"175","Vale","Malheur County","Oregon","678",""
"176","Wolf Creek","Josephine County","Oregon","678",""
"177","Drain","Douglas County","Oregon","677",""
"178","Glendale","Douglas County","Oregon","677",""
"179","Deer Island","Columbia County","Oregon","677",""
"180","Independence","Polk County","Oregon","677",""
"181","Lafayette","Yamhill County","Oregon","676",""
"182","Cave Junction","Josephine County","Oregon","676",""
"183","Sweet Home","Linn County","Oregon","676",""
"184","Myrtle Creek","Douglas County","Oregon","675",""
"185","Otis","Lincoln County","Oregon","675",""
"186","Sheridan","Yamhill County","Oregon","675",""
"187","Chiloquin","Klamath County","Oregon","675",""
"188","Elgin","Union County","Oregon","675",""
"189","La Pine","Deschutes County","Oregon","674",""
"190","Oakridge","Lane County","Oregon","674",""
"191","Cascade Locks","Hood River County","Oregon","674",""
"192","Coos Bay","Coos County","Oregon","674",""
"193","Woodburn","Marion County","Oregon","674",""
"194","Winston","Douglas County","Oregon","673",""
"195","Fairview","Multnomah County","Oregon","673",""
"196","White City","Jackson County","Oregon","673",""
"197","Irrigon","Morrow County","Oregon","672",""
"198","Seaside","Clatsop County","Oregon","672",""
"199","Klamath Falls","Klamath County","Oregon","672",""
"200","Madras","Jefferson County","Oregon","672",""
"201","Canyonville","Douglas County","Oregon","672",""
"202","Nyssa","Malheur County","Oregon","671",""
"203","Riddle","Douglas County","Oregon","671",""
"204","Boardman","Morrow County","Oregon","670",""
"205","Mill City","Linn County","Oregon","670",""
"206","Gervais","Marion County","Oregon","667",""
"207","Hammond","Clatsop County","Oregon","666",""
"208","Umatilla","Umatilla County","Oregon","665",""
"209","Ontario","Malheur County","Oregon","665",""
"210","Willamina","Yamhill County","Oregon","664",""
"211","Grand Ronde","Polk County","Oregon","648",""
"212","Warm Springs","Jefferson County","Oregon","581",""
