"Rank","City","County","Credit Score"
"193","Cherryville","Gaston","668"
"194","Hudson","Caldwell","668"
"195","Maiden","Catawba","668"
"196","Havelock","Craven","667"
"197","Creedmoor","Granville","667"
"198","Connelly Springs","Burke","667"
"199","Sanford","Lee","666"
"200","Statesville","Iredell","666"
"201","Wendell","Wake","666"
"202","Cleveland","Rowan","666"
"203","Andrews","Cherokee","666"
"204","Lucama","Wilson","666"
"205","Winston Salem","Forsyth","665"
"206","Lincolnton","Lincoln","665"
"207","Zebulon","Wake","665"
"208","Claremont","Catawba","665"
"209","Ramseur","Randolph","665"
"210","Coats","Harnett","665"
"211","Lenoir","Caldwell","664"
"212","Old Fort","McDowell","664"
"213","Salisbury","Rowan","663"
"214","Louisburg","Franklin","662"
"215","Hubert","Onslow","662"
"216","Franklinton","Franklin","662"
"217","Four Oaks","Johnston","662"
"218","Thomasville","Davidson","661"
"219","Reidsville","Rockingham","661"
"220","Knightdale","Wake","661"
"221","Kenly","Johnston","661"
"222","Charlotte","Mecklenburg","660"
"223","Oxford","Granville","660"
"224","Marion","McDowell","659"
"225","Lillington","Harnett","659"
"226","Washington","Beaufort","658"
"227","Dunn","Sampson","658"
"228","Richlands","Onslow","658"
"229","Bailey","Nash","658"
"230","Princeton","Johnston","657"
"231","High Point","Guilford","656"
"232","Jacksonville","Onslow","656"
"233","Elizabeth City","Pasquotank","656"
"234","Hope Mills","Cumberland","656"
"235","Roxboro","Person","656"
"236","Dallas","Gaston","656"
"237","Bladenboro","Bladen","656"
"238","Castle Hayne","New Hanover","656"
"239","Goldsboro","Wayne","655"
"240","Cameron","Harnett","655"
"241","Eden","Rockingham","655"
"242","Pink Hill","Duplin","655"
"243","Linwood","Davidson","655"
"244","Williamston","Martin","654"
"245","Spring Hope","Nash","654"
"246","Broadway","Harnett","654"
"247","Burlington","Alamance","653"
"248","Smithfield","Johnston","653"
"249","Siler City","Chatham","653"
"250","Beulaville","Duplin","653"
