City,County,Credit Score,State
Kernersville,Forsyth,700.0,North Carolina
Sneads Ferry,Onslow,699.0,North Carolina
Banner Elk,Watauga,698.0,North Carolina
Youngsville,Franklin,697.0,North Carolina
Black Mountain,Buncombe,697.0,North Carolina
Asheville,Buncombe,695.0,North Carolina
Morehead City,Carteret,695.0,North Carolina
Elon,Alamance,695.0,North Carolina
Belmont,Gaston,694.0,North Carolina
Oakboro,Stanly,694.0,North Carolina
Indian Trail,Union,693.0,North Carolina
Pleasant Garden,Guilford,693.0,North Carolina
Arden,Buncombe,692.0,North Carolina
West Jefferson,Ashe,692.0,North Carolina
Bolivia,Brunswick,692.0,North Carolina
Rougemont,Person,691.0,North Carolina
Sparta,Alleghany,691.0,North Carolina
New Bern,Craven,689.0,North Carolina
Clayton,Johnston,689.0,North Carolina
Hayesville,Clay,689.0,North Carolina
Stokesdale,Rockingham,689.0,North Carolina
Midland,Cabarrus,689.0,North Carolina
Raleigh,Wake,688.0,North Carolina
Waynesville,Haywood,687.0,North Carolina
Holly Ridge,Onslow,687.0,North Carolina
Moyock,Currituck,686.0,North Carolina
New London,Stanly,686.0,North Carolina
Locust,Stanly,686.0,North Carolina
Winterville,Pitt,685.0,North Carolina
Stanley,Gaston,685.0,North Carolina
Troutman,Iredell,685.0,North Carolina
East Bend,Yadkin,685.0,North Carolina
Manteo,Dare,685.0,North Carolina
Murphy,Cherokee,684.0,North Carolina
Wilkesboro,Wilkes,684.0,North Carolina
Pilot Mountain,Surry,684.0,North Carolina
Vass,Moore,683.0,North Carolina
King,Stokes,682.0,North Carolina
Beaufort,Carteret,682.0,North Carolina
Littleton,Halifax,682.0,North Carolina
Pinnacle,Stokes,682.0,North Carolina
Leland,Brunswick,681.0,North Carolina
Camp Lejeune,Onslow,681.0,North Carolina
Yadkinville,Yadkin,681.0,North Carolina
Gibsonville,Guilford,681.0,North Carolina
Stanfield,Stanly,681.0,North Carolina
Hertford,Perquimans,680.0,North Carolina
Elkin,Surry,680.0,North Carolina
Mount Pleasant,Cabarrus,680.0,North Carolina
Carolina Beach,New Hanover,680.0,North Carolina
Hamptonville,Yadkin,680.0,North Carolina
Wilmington,New Hanover,679.0,North Carolina
Franklin,Macon,679.0,North Carolina
Taylorsville,Alexander,679.0,North Carolina
Candler,Buncombe,679.0,North Carolina
Robbins,Moore,679.0,North Carolina
Winnabow,Brunswick,679.0,North Carolina
Seagrove,Randolph,679.0,North Carolina
Boonville,Yadkin,679.0,North Carolina
Willow Spring,Wake,678.0,North Carolina
Kill Devil Hills,Dare,678.0,North Carolina
Denton,Davidson,678.0,North Carolina
Timberlake,Person,678.0,North Carolina
Mebane,Alamance,677.0,North Carolina
Mocksville,Davie,677.0,North Carolina
Burnsville,Yancey,677.0,North Carolina
Supply,Brunswick,677.0,North Carolina
Pineville,Mecklenburg,677.0,North Carolina
Browns Summit,Guilford,677.0,North Carolina
Mars Hill,Madison,677.0,North Carolina
Iron Station,Lincoln,677.0,North Carolina
Jonesville,Yadkin,677.0,North Carolina
Concord,Cabarrus,676.0,North Carolina
Garner,Wake,676.0,North Carolina
Rutherfordton,Rutherford,676.0,North Carolina
Trinity,Randolph,676.0,North Carolina
China Grove,Rowan,676.0,North Carolina
Cullowhee,Jackson,676.0,North Carolina
Valdese,Burke,676.0,North Carolina
Hickory,Catawba,675.0,North Carolina
Mount Airy,Surry,675.0,North Carolina
Mount Holly,Gaston,675.0,North Carolina
Sylva,Jackson,675.0,North Carolina
Clyde,Haywood,675.0,North Carolina
Whitsett,Guilford,675.0,North Carolina
Robbinsville,Graham,675.0,North Carolina
Mount Gilead,Montgomery,675.0,North Carolina
Catawba,Catawba,675.0,North Carolina
Canton,Haywood,674.0,North Carolina
Nashville,Nash,674.0,North Carolina
Aberdeen,Moore,674.0,North Carolina
Madison,Rockingham,674.0,North Carolina
Walnut Cove,Stokes,674.0,North Carolina
Liberty,Randolph,674.0,North Carolina
Newland,Avery,674.0,North Carolina
Rural Hall,Forsyth,674.0,North Carolina
Norwood,Stanly,674.0,North Carolina
Millers Creek,Wilkes,674.0,North Carolina
Stedman,Cumberland,674.0,North Carolina
Bostic,Rutherford,674.0,North Carolina
Granite Falls,Caldwell,673.0,North Carolina
Randleman,Randolph,673.0,North Carolina
Marshall,Madison,673.0,North Carolina
Swannanoa,Buncombe,673.0,North Carolina
Mc Leansville,Guilford,673.0,North Carolina
Bryson City,Swain,673.0,North Carolina
Troy,Montgomery,673.0,North Carolina
Walkertown,Forsyth,673.0,North Carolina
Durham,Durham,672.0,North Carolina
Asheboro,Randolph,672.0,North Carolina
Newton,Catawba,672.0,North Carolina
Conover,Catawba,672.0,North Carolina
Newport,Carteret,672.0,North Carolina
Leicester,Buncombe,672.0,North Carolina
Spruce Pine,Mitchell,672.0,North Carolina
Dobson,Surry,672.0,North Carolina
Elm City,Wilson,672.0,North Carolina
Bakersville,Mitchell,672.0,North Carolina
Lexington,Davidson,671.0,North Carolina
Morganton,Burke,671.0,North Carolina
Graham,Alamance,671.0,North Carolina
Albemarle,Stanly,671.0,North Carolina
Pikeville,Wayne,671.0,North Carolina
Shallotte,Brunswick,671.0,North Carolina
Rockwell,Rowan,671.0,North Carolina
Marshville,Union,671.0,North Carolina
Stoneville,Rockingham,671.0,North Carolina
Nebo,McDowell,671.0,North Carolina
Snow Camp,Alamance,671.0,North Carolina
Whittier,Jackson,671.0,North Carolina
Stony Point,Iredell,671.0,North Carolina
Angier,Harnett,670.0,North Carolina
Edenton,Chowan,670.0,North Carolina
Sophia,Randolph,670.0,North Carolina
Haw River,Alamance,670.0,North Carolina
Linden,Cumberland,670.0,North Carolina
North Wilkesboro,Wilkes,669.0,North Carolina
Vale,Lincoln,669.0,North Carolina
Chocowinity,Beaufort,669.0,North Carolina
Grimesland,Pitt,669.0,North Carolina
Hiddenite,Alexander,669.0,North Carolina
Monroe,Union,668.0,North Carolina
Benson,Johnston,668.0,North Carolina
Cherryville,Gaston,668.0,North Carolina
Hudson,Caldwell,668.0,North Carolina
Maiden,Catawba,668.0,North Carolina
Havelock,Craven,667.0,North Carolina
Creedmoor,Granville,667.0,North Carolina
Connelly Springs,Burke,667.0,North Carolina
Sanford,Lee,666.0,North Carolina
Statesville,Iredell,666.0,North Carolina
Wendell,Wake,666.0,North Carolina
Cleveland,Rowan,666.0,North Carolina
Andrews,Cherokee,666.0,North Carolina
Lucama,Wilson,666.0,North Carolina
Winston Salem,Forsyth,665.0,North Carolina
Lincolnton,Lincoln,665.0,North Carolina
Zebulon,Wake,665.0,North Carolina
Claremont,Catawba,665.0,North Carolina
Ramseur,Randolph,665.0,North Carolina
Coats,Harnett,665.0,North Carolina
Lenoir,Caldwell,664.0,North Carolina
Old Fort,McDowell,664.0,North Carolina
Salisbury,Rowan,663.0,North Carolina
Louisburg,Franklin,662.0,North Carolina
Hubert,Onslow,662.0,North Carolina
Franklinton,Franklin,662.0,North Carolina
Four Oaks,Johnston,662.0,North Carolina
Thomasville,Davidson,661.0,North Carolina
Reidsville,Rockingham,661.0,North Carolina
Knightdale,Wake,661.0,North Carolina
Kenly,Johnston,661.0,North Carolina
Charlotte,Mecklenburg,660.0,North Carolina
Oxford,Granville,660.0,North Carolina
Marion,McDowell,659.0,North Carolina
Lillington,Harnett,659.0,North Carolina
Washington,Beaufort,658.0,North Carolina
Dunn,Sampson,658.0,North Carolina
Richlands,Onslow,658.0,North Carolina
Bailey,Nash,658.0,North Carolina
Princeton,Johnston,657.0,North Carolina
High Point,Guilford,656.0,North Carolina
Jacksonville,Onslow,656.0,North Carolina
Elizabeth City,Pasquotank,656.0,North Carolina
Hope Mills,Cumberland,656.0,North Carolina
Roxboro,Person,656.0,North Carolina
Dallas,Gaston,656.0,North Carolina
Bladenboro,Bladen,656.0,North Carolina
Castle Hayne,New Hanover,656.0,North Carolina
Goldsboro,Wayne,655.0,North Carolina
Cameron,Harnett,655.0,North Carolina
Eden,Rockingham,655.0,North Carolina
Pink Hill,Duplin,655.0,North Carolina
Linwood,Davidson,655.0,North Carolina
Williamston,Martin,654.0,North Carolina
Spring Hope,Nash,654.0,North Carolina
Broadway,Harnett,654.0,North Carolina
Burlington,Alamance,653.0,North Carolina
Smithfield,Johnston,653.0,North Carolina
Siler City,Chatham,653.0,North Carolina
Beulaville,Duplin,653.0,North Carolina
Colgate,Washington,778.0,Wisconsin
Hubertus,Washington,777.0,Wisconsin
Greenville,Outagamie,772.0,Wisconsin
Elkhart Lake,Sheboygan,772.0,Wisconsin
Elm Grove,Waukesha,771.0,Wisconsin
Waunakee,Dane,768.0,Wisconsin
Mequon,Ozaukee,767.7691592,Wisconsin
Brookfield,Waukesha,767.1142378,Wisconsin
Verona,Dane,766.0,Wisconsin
New Franken,Brown,765.0,Wisconsin
Sobieski,Oconto,764.0,Wisconsin
Cedarburg,Ozaukee,763.0,Wisconsin
Oostburg,Sheboygan,763.0,Wisconsin
Richfield,Washington,763.0,Wisconsin
Delafield,Waukesha,762.0,Wisconsin
New Berlin,Waukesha,761.1890152999999,Wisconsin
Muskego,Waukesha,761.0,Wisconsin
Menomonee Falls,Waukesha,760.0,Wisconsin
Middleton,Dane,760.0,Wisconsin
Big Bend,Waukesha,760.0,Wisconsin
Mc Farland,Dane,759.0,Wisconsin
Sussex,Waukesha,758.0,Wisconsin
Luxemburg,Kewaunee,758.0,Wisconsin
Cross Plains,Dane,758.0,Wisconsin
Combined Locks,Outagamie,758.0,Wisconsin
Wales,Waukesha,758.0,Wisconsin
Germantown,Washington,757.0,Wisconsin
Oregon,Dane,757.0,Wisconsin
Marathon,Marathon,757.0,Wisconsin
Franklin,Milwaukee,756.0,Wisconsin
Pewaukee,Waukesha,756.0,Wisconsin
Hortonville,Outagamie,755.0,Wisconsin
Suamico,Brown,755.0,Wisconsin
Hartland,Waukesha,753.0,Wisconsin
Grafton,Ozaukee,753.0,Wisconsin
Cottage Grove,Dane,753.0,Wisconsin
Kiel,Manitowoc,753.0,Wisconsin
Greenleaf,Brown,752.0,Wisconsin
Mount Horeb,Dane,751.0,Wisconsin
Denmark,Brown,751.0,Wisconsin
Winneconne,Winnebago,751.0,Wisconsin
Reedsville,Manitowoc,751.0,Wisconsin
Fremont,Winnebago,750.0,Wisconsin
De Pere,Brown,749.0,Wisconsin
Slinger,Washington,749.0,Wisconsin
Prairie Du Sac,Sauk,749.0,Wisconsin
Stratford,Marathon,749.0,Wisconsin
Hilbert,Calumet,749.0,Wisconsin
Lodi,Columbia,747.0,Wisconsin
Dousman,Waukesha,747.0,Wisconsin
Cuba City,Grant,747.0,Wisconsin
Black Creek,Outagamie,747.0,Wisconsin
Cedar Grove,Sheboygan,747.0,Wisconsin
Oconomowoc,Waukesha,746.0,Wisconsin
Hudson,St. Croix,746.0,Wisconsin
Sheboygan Falls,Sheboygan,746.0,Wisconsin
Amherst,Portage,746.0,Wisconsin
Campbellsport,Fond du Lac,745.0,Wisconsin
Belleville,Dane,745.0,Wisconsin
Brooklyn,Green,745.0,Wisconsin
Mukwonago,Waukesha,744.0,Wisconsin
Holmen,La Crosse,744.0,Wisconsin
De Forest,Dane,744.0,Wisconsin
Franksville,Racine,744.0,Wisconsin
Nashotah,Waukesha,744.0,Wisconsin
Onalaska,La Crosse,743.0,Wisconsin
Plymouth,Sheboygan,743.0,Wisconsin
Jackson,Washington,743.0,Wisconsin
Trempealeau,Trempealeau,743.0,Wisconsin
Bloomer,Chippewa,742.0,Wisconsin
Sturgeon Bay,Door,741.0,Wisconsin
Greendale,Milwaukee,741.0,Wisconsin
Kewaskum,Washington,741.0,Wisconsin
Eagle,Waukesha,741.0,Wisconsin
Fredonia,Ozaukee,741.0,Wisconsin
Caledonia,Racine,741.0,Wisconsin
New Glarus,Green,740.0,Wisconsin
Belgium,Ozaukee,740.0,Wisconsin
Eleva,Eau Claire,740.0,Wisconsin
Waterford,Racine,739.0,Wisconsin
Chilton,Calumet,739.0,Wisconsin
Cambridge,Dane,739.0,Wisconsin
Minocqua,Oneida,739.0,Wisconsin
Edgar,Marathon,739.0,Wisconsin
Mosinee,Marathon,738.0,Wisconsin
Seymour,Outagamie,738.0,Wisconsin
Spring Green,Sauk,738.0,Wisconsin
West Salem,La Crosse,737.0,Wisconsin
Fall Creek,Eau Claire,737.0,Wisconsin
Mazomanie,Dane,737.0,Wisconsin
Hazel Green,Grant,737.0,Wisconsin
Kaukauna,Outagamie,736.0,Wisconsin
Mineral Point,Iowa,736.0,Wisconsin
Hatley,Marathon,736.0,Wisconsin
Marshfield,Wood,735.0,Wisconsin
Kewaunee,Kewaunee,735.0,Wisconsin
Athens,Marathon,735.0,Wisconsin
Brillion,Calumet,735.0,Wisconsin
New Holstein,Calumet,735.0,Wisconsin
Wrightstown,Brown,735.0,Wisconsin
Hartford,Washington,734.0,Wisconsin
Lake Mills,Jefferson,734.0,Wisconsin
Lancaster,Grant,734.0,Wisconsin
Sauk City,Sauk,734.0,Wisconsin
Sun Prairie,Dane,733.0,Wisconsin
Medford,Taylor,733.0,Wisconsin
Deerfield,Dane,733.0,Wisconsin
West Bend,Washington,732.1119765999999,Wisconsin
Neenah,Winnebago,732.0,Wisconsin
River Falls,Pierce,732.0,Wisconsin
Stoughton,Dane,732.0,Wisconsin
Plover,Portage,732.0,Wisconsin
Port Washington,Ozaukee,732.0,Wisconsin
Poynette,Columbia,732.0,Wisconsin
Shiocton,Outagamie,732.0,Wisconsin
Washburn,Bayfield,732.0,Wisconsin
Florence,Florence,732.0,Wisconsin
Solon Springs,Douglas,732.0,Wisconsin
Westby,Vernon,731.0,Wisconsin
Pulaski,Shawano,730.0,Wisconsin
Elk Mound,Dunn,730.0,Wisconsin
Ixonia,Jefferson,730.0,Wisconsin
Eagle River,Vilas,729.0,Wisconsin
Prescott,Pierce,729.0,Wisconsin
Colfax,Dunn,729.0,Wisconsin
Roberts,St. Croix,729.0,Wisconsin
Pleasant Prairie,Kenosha,728.0,Wisconsin
Greenwood,Clark,728.0,Wisconsin
Windsor,Dane,728.0,Wisconsin
Phillips,Price,727.0,Wisconsin
Bonduel,Shawano,727.0,Wisconsin
Randolph,Columbia,727.0,Wisconsin
Spring Valley,Pierce,727.0,Wisconsin
Appleton,Outagamie,726.4867948,Wisconsin
Woodruff,Vilas,726.0,Wisconsin
Spencer,Clark,726.0,Wisconsin
Markesan,Green Lake,726.0,Wisconsin
Lena,Oconto,726.0,Wisconsin
Madison,Dane,725.3928654,Wisconsin
Platteville,Grant,725.0,Wisconsin
Milton,Rock,725.0,Wisconsin
Dodgeville,Iowa,725.0,Wisconsin
Saukville,Ozaukee,725.0,Wisconsin
Algoma,Kewaunee,725.0,Wisconsin
Random Lake,Sheboygan,725.0,Wisconsin
Waukesha,Waukesha,724.9715672,Wisconsin
Nekoosa,Adams,724.0,Wisconsin
Oneida,Outagamie,724.0,Wisconsin
Kimberly,Outagamie,724.0,Wisconsin
Birnamwood,Shawano,724.0,Wisconsin
Chanhassen,Carver County,765.0,Minnesota
Minnetonka,Hennepin County,764.0,Minnesota
Victoria,Carver County,764.0,Minnesota
Maple Grove,Hennepin County,763.0,Minnesota
Hamel,Hennepin County,762.0,Minnesota
Wayzata,Hennepin County,761.0,Minnesota
Cold Spring,Stearns County,761.0,Minnesota
Avon,Stearns County,761.0,Minnesota
Excelsior,Hennepin County,759.0,Minnesota
Long Lake,Hennepin County,759.0,Minnesota
Lake Elmo,Washington County,758.0,Minnesota
Rogers,Hennepin County,757.0,Minnesota
La Crescent,Houston County,757.0,Minnesota
Maple Plain,Hennepin County,756.0,Minnesota
Eden Prairie,Hennepin County,754.4999921,Minnesota
Stillwater,Washington County,753.0,Minnesota
Saint Joseph,Stearns County,752.0,Minnesota
Waconia,Carver County,751.0,Minnesota
Clear Lake,Sherburne County,751.0,Minnesota
Carver,Carver County,751.0,Minnesota
Lakeville,Dakota County,750.0,Minnesota
New Ulm,Brown County,750.0,Minnesota
Prior Lake,Scott County,749.0,Minnesota
Delano,Wright County,749.0,Minnesota
Andover,Anoka County,748.0,Minnesota
Hugo,Washington County,748.0,Minnesota
Byron,Olmsted County,748.0,Minnesota
Caledonia,Houston County,748.0,Minnesota
Savage,Scott County,747.0,Minnesota
Northfield,Rice County,747.0,Minnesota
Osseo,Hennepin County,746.0,Minnesota
Albany,Stearns County,746.0,Minnesota
Morris,Stevens County,744.0,Minnesota
Rice,Benton County,744.0,Minnesota
Ely,Lake County,744.0,Minnesota
Saint Michael,Wright County,743.0,Minnesota
Baxter,Crow Wing County,742.0,Minnesota
Sartell,Stearns County,741.0,Minnesota
Sartell,Stearns,741.0,Minnesota
Sleepy Eye,Brown County,741.0,Minnesota
Rochester,Olmsted County,740.0789499,Minnesota
Circle Pines,Anoka County,740.0,Minnesota
Champlin,Hennepin County,740.0,Minnesota
New Prague,Le Sueur County,740.0,Minnesota
Melrose,Stearns County,740.0,Minnesota
Pine Island,Goodhue County,740.0,Minnesota
Elko New Market,Scott County,739.2313073,Minnesota
Rosemount,Dakota County,739.0,Minnesota
Mound,Hennepin County,739.0,Minnesota
Paynesville,Stearns County,739.0,Minnesota
Clearwater,Stearns County,739.0,Minnesota
Sauk Centre,Stearns County,738.0,Minnesota
Lake City,Wabasha County,738.0,Minnesota
Chisago City,Chisago County,737.0,Minnesota
Chaska,Carver County,736.0,Minnesota
Alexandria,Douglas County,734.0,Minnesota
Cannon Falls,Goodhue County,734.0,Minnesota
Luverne,Rock County,733.0,Minnesota
Cedar,Anoka County,732.0,Minnesota
Glenwood,Pope County,732.0,Minnesota
Lindstrom,Chisago County,731.0,Minnesota
Maple Lake,Wright County,731.0,Minnesota
Hutchinson,McLeod County,730.0,Minnesota
Pierz,Morrison County,730.0,Minnesota
Hastings,Dakota County,729.0,Minnesota
Wyoming,Anoka County,729.0,Minnesota
Aitkin,Aitkin County,729.0,Minnesota
Kasson,Dodge County,729.0,Minnesota
Annandale,Wright County,729.0,Minnesota
Watertown,Carver County,729.0,Minnesota
Saint Charles,Winona County,729.0,Minnesota
Hopkins,Hennepin County,728.4118502,Minnesota
Elk River,Sherburne County,728.0,Minnesota
Saint Peter,Nicollet County,728.0,Minnesota
Inver Grove Heights,Dakota County,727.6053939,Minnesota
Cottage Grove,Washington County,727.0,Minnesota
Stewartville,Olmsted County,727.0,Minnesota
Owatonna,Steele County,726.0,Minnesota
Buffalo,Wright County,726.0,Minnesota
Fergus Falls,Otter Tail County,726.0,Minnesota
Jordan,Scott County,726.0,Minnesota
Forest Lake,Anoka County,725.0,Minnesota
Stacy,Chisago County,725.0,Minnesota
Two Harbors,Lake County,725.0,Minnesota
Marshall,Lyon County,724.0,Minnesota
Fairmont,Martin County,723.0,Minnesota
Glencoe,McLeod County,723.0,Minnesota
Pequot Lakes,Crow Wing County,723.0,Minnesota
Redwood Falls,Redwood County,723.0,Minnesota
Lonsdale,Rice County,723.0,Minnesota
Farmington,Dakota County,722.0,Minnesota
Becker,Sherburne County,722.0,Minnesota
Belle Plaine,Scott County,722.0,Minnesota
Foley,Benton County,722.0,Minnesota
Perham,Otter Tail County,722.0,Minnesota
Roseau,Roseau County,722.0,Minnesota
Shakopee,Scott County,721.0,Minnesota
Winona,Winona County,721.0,Minnesota
Sauk Rapids,Benton County,721.0,Minnesota
Albertville,Wright County,721.0,Minnesota
Pipestone,Pipestone County,721.0,Minnesota
Windom,Cottonwood County,721.0,Minnesota
Pelican Rapids,Otter Tail County,720.0,Minnesota
Mankato,Blue Earth County,719.0108362999999,Minnesota
Detroit Lakes,Becker County,719.0,Minnesota
Cokato,Wright County,719.0,Minnesota
Saint Paul,Ramsey County,718.4270109,Minnesota
Red Wing,Goodhue County,718.0,Minnesota
Monticello,Wright County,717.0,Minnesota
Duluth,St. Louis County,716.5723386,Minnesota
Anoka,Anoka County,715.0,Minnesota
East Grand Forks,Polk County,715.0,Minnesota
Litchfield,Meeker County,715.0,Minnesota
Rockford,Hennepin County,715.0,Minnesota
Zimmerman,Sherburne County,714.0,Minnesota
Le Sueur,Le Sueur County,714.0,Minnesota
Frazee,Becker County,714.0,Minnesota
Big Lake,Sherburne County,713.0,Minnesota
Bemidji,Beltrami County,712.0,Minnesota
Grand Rapids,Itasca County,712.0,Minnesota
Little Falls,Morrison County,712.0,Minnesota
Park Rapids,Hubbard County,712.0,Minnesota
Burnsville,Dakota County,711.0686364000001,Minnesota
Minneapolis,Hennepin County,710.4122334,Minnesota
Moorhead,Clay County,710.0,Minnesota
North Branch,Chisago County,710.0,Minnesota
Waseca,Waseca County,710.0,Minnesota
International Falls,Koochiching County,710.0,Minnesota
Long Prairie,Todd County,710.0,Minnesota
Eveleth,St. Louis County,710.0,Minnesota
Worthington,Nobles County,707.0,Minnesota
Montevideo,Chippewa County,707.0,Minnesota
Cambridge,Isanti County,705.0,Minnesota
Saint Cloud,Stearns County,704.3729105,Minnesota
Princeton,Mille Lacs County,703.0,Minnesota
Thief River Falls,Pennington County,703.0,Minnesota
Willmar,Kandiyohi County,701.0,Minnesota
Crookston,Polk County,701.0,Minnesota
Wadena,Wadena County,701.0,Minnesota
Faribault,Rice County,700.0,Minnesota
Albert Lea,Freeborn County,700.0,Minnesota
Rush City,Chisago County,700.0,Minnesota
Isanti,Isanti County,699.0,Minnesota
Saint James,Watonwan County,699.0,Minnesota
Austin,Mower County,696.0,Minnesota
Brainerd,Crow Wing County,695.0,Minnesota
Milaca,Mille Lacs County,695.0,Minnesota
Cloquet,Carlton County,694.0,Minnesota
Virginia,St. Louis County,694.0,Minnesota
Pine City,Pine County,694.0,Minnesota
Hibbing,St. Louis County,693.0,Minnesota
Washington Crossing,Bucks County,770.0,Pennsylvania
Garnet Valley,Delaware County,767.0,Pennsylvania
Wexford,Allegheny County,765.0,Pennsylvania
Dresher,Montgomery County,765.0,Pennsylvania
Glen Mills,Delaware County,765.0,Pennsylvania
Murrysville,Westmoreland County,765.0,Pennsylvania
Merion Station,Montgomery County,765.0,Pennsylvania
Wynnewood,Montgomery County,764.0,Pennsylvania
Berwyn,Chester County,764.0,Pennsylvania
Bradfordwoods,Allegheny County,762.0,Pennsylvania
Thornton,Delaware County,761.0,Pennsylvania
Boalsburg,Centre County,761.0,Pennsylvania
Chester Springs,Chester County,761.0,Pennsylvania
New Hope,Bucks County,760.0,Pennsylvania
New Hope,Bucks,760.0,Pennsylvania
Villanova,Delaware County,760.0,Pennsylvania
Villanova,Delaware,760.0,Pennsylvania
Mars,Butler County,760.0,Pennsylvania
Gibsonia,Allegheny County,759.0,Pennsylvania
Haverford,Delaware County,759.0,Pennsylvania
Chadds Ford,Delaware County,759.0,Pennsylvania
Venetia,Washington County,759.0,Pennsylvania
Davidsville,Somerset County,759.0,Pennsylvania
Pennsylvania Furnace,Centre County,759.0,Pennsylvania
Narberth,Montgomery County,759.0,Pennsylvania
Zionsville,Lehigh County,758.0,Pennsylvania
Furlong,Bucks County,758.0,Pennsylvania
Lucinda,Clarion County,758.0,Pennsylvania
Harrison City,Westmoreland County,757.0,Pennsylvania
Landenberg,Chester County,757.0,Pennsylvania
Gladwyne,Montgomery County,757.0,Pennsylvania
Sewickley,Allegheny County,757.0,Pennsylvania
Richboro,Bucks County,757.0,Pennsylvania
Richboro,Bucks,757.0,Pennsylvania
Wayne,Chester County,757.0,Pennsylvania
Fort Washington,Montgomery County,757.0,Pennsylvania
Newtown,Bucks County,756.0,Pennsylvania
Jamison,Bucks County,756.0,Pennsylvania
Jamison,Bucks,756.0,Pennsylvania
Schnecksville,Lehigh County,756.0,Pennsylvania
Presto,Allegheny County,755.0,Pennsylvania
Lafayette Hill,Montgomery County,755.0,Pennsylvania
Newtown Square,Delaware County,755.0,Pennsylvania
Newtown Square,Delaware,755.0,Pennsylvania
Allison Park,Allegheny County,755.0,Pennsylvania
Cranberry Township,Butler County,754.0,Pennsylvania
Blue Bell,Montgomery County,753.0,Pennsylvania
Collegeville,Montgomery County,753.0,Pennsylvania
Sugarloaf,Luzerne County,753.0,Pennsylvania
Fogelsville,Lehigh County,753.0,Pennsylvania
Ambler,Montgomery County,752.0,Pennsylvania
Ambler,Montgomery,752.0,Pennsylvania
Valencia,Butler County,752.0,Pennsylvania
Paoli,Chester County,752.0,Pennsylvania
Glenmoore,Chester County,751.0,Pennsylvania
Coopersburg,Lehigh County,751.0,Pennsylvania
Boiling Springs,Cumberland County,751.0,Pennsylvania
Malvern,Chester County,751.0,Pennsylvania
Harleysville,Montgomery County,751.0,Pennsylvania
Huntingdon Valley,Montgomery County,751.0,Pennsylvania
Renfrew,Butler County,751.0,Pennsylvania
Devon,Chester County,750.0,Pennsylvania
Bala Cynwyd,Montgomery County,750.0,Pennsylvania
Wallingford,Delaware County,750.0,Pennsylvania
Center Valley,Lehigh County,750.0,Pennsylvania
Swarthmore,Delaware County,750.0,Pennsylvania
Glenshaw,Allegheny County,750.0,Pennsylvania
Port Matilda,Centre County,749.0,Pennsylvania
Doylestown,Bucks County,749.0,Pennsylvania
Chalfont,Bucks County,749.0,Pennsylvania
Chalfont,Bucks,749.0,Pennsylvania
Bryn Mawr,Delaware County,749.0,Pennsylvania
Lititz,Lancaster County,749.0,Pennsylvania
Warrington,Bucks County,748.0,Pennsylvania
Stevens,Lancaster County,748.0,Pennsylvania
Conyngham,Luzerne County,748.0,Pennsylvania
Orefield,Lehigh County,748.0,Pennsylvania
Washington Boro,Lancaster County,748.0,Pennsylvania
North Wales,Montgomery County,748.0,Pennsylvania
Southampton,Bucks County,747.0,Pennsylvania
Landisville,Lancaster County,747.0,Pennsylvania
Bethel Park,Allegheny County,747.0,Pennsylvania
Exton,Chester County,746.0,Pennsylvania
Oreland,Montgomery County,746.0,Pennsylvania
