"Rank","City","County","State","Average VantageScore 3.0 Credit Score",""
"96","La Vernia","Wilson County","Texas","696",""
"97","Celina","Collin County","Texas","696",""
"98","Liberty Hill","Williamson County","Texas","694",""
"99","Lavon","Collin County","Texas","694",""
"100","Kemah","Galveston County","Texas","694",""
"101","Leander","Williamson County","Texas","694",""
"102","Hawkins","Wood County","Texas","694",""
"103","Christoval","Tom Green County","Texas","694",""
"104","Lake Jackson","Brazoria County","Texas","694",""
"105","Grand Prairie","Tarrant County","Texas","693",""
"106","Midlothian","Ellis County","Texas","693",""
"107","Port Neches","Jefferson County","Texas","693",""
"108","Tomball","Harris County","Texas","693",""
"109","Woodway","McLennan County","Texas","693",""
"110","Spring","Harris County","Texas","692",""
"111","Alleyton","Colorado County","Texas","692",""
"112","Normangee","Leon County","Texas","692",""
"113","Schertz","Guadalupe County","Texas","692",""
"114","Johnson City","Blanco County","Texas","691",""
"115","Round Rock","Williamson County","Texas","691",""
"116","Harper","Gillespie County","Texas","691",""
"117","Hewitt","McLennan County","Texas","690",""
"118","Granbury","Hood County","Texas","690",""
"119","Jourdanton","Atascosa County","Texas","690",""
"120","Forestburg","Montague County","Texas","690",""
"121","Cibolo","Guadalupe County","Texas","690",""
"122","Brookeland","Jasper County","Texas","690",""
"123","Mc Gregor","McLennan County","Texas","689",""
"124","Sumner","Lamar County","Texas","689",""
"125","Manvel","Brazoria County","Texas","689",""
"126","Blanco","Blanco County","Texas","689",""
"127","Canyon","Randall County","Texas","689",""
"128","Scroggins","Franklin County","Texas","689",""
"129","Baytown","Chambers County","Texas","689",""
"130","Melissa","Collin County","Texas","689",""
"131","Mason","Mason County","Texas","689",""
"132","Buda","Hays County","Texas","688",""
"133","Cresson","Hood County","Texas","688",""
"134","Lott","Falls County","Texas","688",""
"135","Bedford","Tarrant County","Texas","688",""
"136","New Braunfels","Comal County","Texas","687",""
"137","Hamshire","Jefferson County","Texas","687",""
"138","Garwood","Colorado County","Texas","687",""
"139","Panhandle","Carson County","Texas","687",""
"140","Magnolia","Montgomery County","Texas","687",""
"141","Llano","Llano County","Texas","687",""
"142","Yantis","Wood County","Texas","687",""
"143","Bellville","Austin County","Texas","687",""
"144","Kaufman","Kaufman County","Texas","687",""
"145","Canyon Lake","Comal County","Texas","686",""
"146","Ropesville","Hockley County","Texas","686",""
"147","West","McLennan County","Texas","686",""
"148","Vega","Oldham County","Texas","686",""
"149","Sour Lake","Hardin County","Texas","686",""
"150","Gruver","Hansford County","Texas","686",""
"151","Brenham","Washington County","Texas","686",""
"152","East Bernard","Wharton County","Texas","685",""
"153","North Richland Hills","Tarrant County","Texas","685",""
"154","Rowlett","Dallas County","Texas","685",""
"155","Buchanan Dam","Llano County","Texas","685",""
"156","Flint","Smith County","Texas","685",""
"157","China Spring","McLennan County","Texas","685",""
"158","Gunter","Grayson County","Texas","684",""
"159","Bullard","Cherokee County","Texas","684",""
"160","Goldthwaite","Mills County","Texas","684",""
"161","Columbus","Colorado County","Texas","684",""
"162","Flatonia","Fayette County","Texas","684",""
"163","Sunset","Montague County","Texas","684",""
"164","Powderly","Lamar County","Texas","684",""
"165","Adkins","Bexar County","Texas","683",""
"166","Bandera","Bandera County","Texas","683",""
"167","Pipe Creek","Bandera County","Texas","682",""
"168","Decatur","Wise County","Texas","682",""
"169","Weatherford","Parker County","Texas","682",""
"170","Lindale","Smith County","Texas","682",""
"171","Wylie","Collin County","Texas","682",""
"172","Amarillo","Randall County","Texas","682",""
"173","Hemphill","Sabine County","Texas","682",""
"174","Anderson","Grimes County","Texas","682",""
"175","Kennedale","Tarrant County","Texas","681",""
"176","Miles","Runnels County","Texas","681",""
"177","Pottsboro","Grayson County","Texas","681",""
"178","Bellevue","Clay County","Texas","681",""
"179","Lumberton","Hardin County","Texas","681",""
"180","Granger","Williamson County","Texas","681",""
"181","Comfort","Kendall County","Texas","681",""
"182","Lexington","Lee County","Texas","681",""
"183","Missouri City","Fort Bend County","Texas","681",""
"184","Port Bolivar","Galveston County","Texas","681",""
"185","Danbury","Brazoria County","Texas","680",""
"186","Kempner","Lampasas County","Texas","680",""
"187","Iola","Grimes County","Texas","680",""
"188","White Deer","Carson County","Texas","680",""
"189","Streetman","Freestone County","Texas","680",""
"190","Marble Falls","Burnet County","Texas","680",""
"191","Center Point","Kerr County","Texas","680",""
"192","Silverton","Briscoe County","Texas","680",""
"193","Nederland","Jefferson County","Texas","680",""
"194","Mansfield","Tarrant County","Texas","680",""
"195","Addison","Dallas County","Texas","680",""
"196","Austin","Travis County","Texas","680",""
"197","Katy","Harris County","Texas","679",""
"198","Louise","Wharton County","Texas","679",""
"199","Marion","Guadalupe County","Texas","679",""
"200","Van Alstyne","Grayson County","Texas","679",""
"201","Franklin","Robertson County","Texas","679",""
"202","D Hanis","Medina County","Texas","679",""
"203","Canadian","Hemphill County","Texas","678",""
"204","Cross Plains","Callahan County","Texas","678",""
"205","Hurst","Tarrant County","Texas","678",""
"206","Lipan","Hood County","Texas","678",""
"207","Trenton","Fannin County","Texas","678",""
"208","Palo Pinto","Palo Pinto County","Texas","678",""
"209","Yorktown","DeWitt County","Texas","678",""
"210","Tioga","Grayson County","Texas","678",""
"211","Happy","Randall County","Texas","678",""
"212","Perrin","Jack County","Texas","678",""
"213","Ponder","Denton County","Texas","678",""
"214","Pilot Point","Denton County","Texas","677",""
"215","Early","Brown County","Texas","677",""
"216","Ganado","Jackson County","Texas","677",""
"217","Castroville","Medina County","Texas","677",""
"218","Booker","Lipscomb County","Texas","677",""
"219","Rockport","Aransas County","Texas","677",""
"220","Needville","Fort Bend County","Texas","677",""
"221","Henrietta","Clay County","Texas","677",""
"222","Sealy","Austin County","Texas","676",""
"223","Crandall","Kaufman County","Texas","676",""
"224","Pflugerville","Travis County","Texas","676",""
"225","Mertzon","Irion County","Texas","676",""
"226","Brashear","Hopkins County","Texas","676",""
"227","Winnsboro","Wood County","Texas","676",""
"228","Maypearl","Ellis County","Texas","676",""
"229","Kerrville","Kerr County","Texas","676",""
"230","Lake Dallas","Denton County","Texas","676",""
"231","Whitehouse","Smith County","Texas","676",""
"232","Paradise","Wise County","Texas","676",""
"233","Ravenna","Fannin County","Texas","676",""
"234","Burleson","Johnson County","Texas","676",""
"235","Gustine","Comanche County","Texas","675",""
"236","Stratford","Sherman County","Texas","675",""
"237","Burkeville","Newton County","Texas","675",""
"238","China","Jefferson County","Texas","675",""
"239","Santa Fe","Galveston County","Texas","675",""
"240","Idalou","Lubbock County","Texas","675",""
"241","Tolar","Hood County","Texas","675",""
"242","Deer Park","Harris County","Texas","675",""
"243","Seymour","Baylor County","Texas","675",""
"244","Broaddus","San Augustine County","Texas","675",""
"245","Blanket","Brown County","Texas","675",""
"246","Little Elm","Denton County","Texas","675",""
"247","Groves","Jefferson County","Texas","675",""
"248","Burnet","Burnet County","Texas","675",""
"249","Canton","Van Zandt County","Texas","675",""
"250","Brackettville","Kinney County","Texas","675",""
"251","Glen Rose","Somervell County","Texas","675",""
"252","West Columbia","Brazoria County","Texas","675",""
"253","Bremond","Robertson County","Texas","675",""
"254","Kingsbury","Guadalupe County","Texas","675",""
"255","Belton","Bell County","Texas","675",""
"256","Jbsa Ft Sam Houston","Bexar County","Texas","675",""
"257","Grandview","Johnson County","Texas","675",""
"258","Detroit","Red River County","Texas","674",""
"259","Poth","Wilson County","Texas","674",""
"260","Graham","Young County","Texas","674",""
"261","Valley View","Cooke County","Texas","674",""
"262","Spearman","Hansford County","Texas","674",""
"263","Paducah","Cottle County","Texas","674",""
"264","Oglesby","Coryell County","Texas","674",""
"265","San Saba","San Saba County","Texas","674",""
"266","Marquez","Leon County","Texas","674",""
"267","Red Rock","Bastrop County","Texas","674",""
"268","Robert Lee","Coke County","Texas","674",""
"269","Portland","San Patricio County","Texas","674",""
"270","Emory","Rains County","Texas","674",""
"271","May","Brown County","Texas","674",""
"272","Albany","Shackelford County","Texas","674",""
"273","Menard","Menard County","Texas","674",""
"274","Yoakum","Lavaca County","Texas","674",""
"275","Olmito","Cameron County","Texas","673",""
"276","Axtell","McLennan County","Texas","673",""
"277","Caldwell","Burleson County","Texas","673",""
"278","Holliday","Archer County","Texas","673",""
"279","Coupland","Williamson County","Texas","673",""
"280","Iowa Park","Wichita County","Texas","673",""
"281","Clarendon","Donley County","Texas","673",""
"282","Sandia","Jim Wells County","Texas","673",""
"283","Washington","Washington County","Texas","673",""
"284","Santo","Palo Pinto County","Texas","673",""
"285","Whitesboro","Grayson County","Texas","673",""
"286","Eldorado","Schleicher County","Texas","673",""
"287","Sudan","Lamb County","Texas","673",""
"288","Bridge City","Orange County","Texas","673",""
"289","Douglass","Nacogdoches County","Texas","673",""
"290","Nocona","Montague County","Texas","672",""
"291","Hico","Hamilton County","Texas","672",""
"292","Millsap","Parker County","Texas","672",""
"293","Lewisville","Denton County","Texas","672",""
"294","Kennard","Houston County","Texas","672",""
"295","Junction","Kimble County","Texas","672",""
"296","Saint Jo","Montague County","Texas","672",""
"297","Throckmorton","Throckmorton County","Texas","672",""
"298","Gorman","Eastland County","Texas","672",""
"299","Strawn","Palo Pinto County","Texas","672",""
"300","Quitman","Wood County","Texas","672",""
"301","Centerville","Leon County","Texas","672",""
"302","Farwell","Parmer County","Texas","672",""
"303","Coahoma","Howard County","Texas","672",""
"304","Wolfforth","Lubbock County","Texas","672",""
"305","Lometa","Lampasas County","Texas","672",""
"306","Etoile","Nacogdoches County","Texas","672",""
"307","Farmersville","Collin County","Texas","672",""
"308","Lampasas","Lampasas County","Texas","672",""
"309","Thorndale","Milam County","Texas","672",""
"310","Marfa","Presidio County","Texas","672",""
"311","Plains","Yoakum County","Texas","672",""
"312","Arthur City","Lamar County","Texas","672",""
"313","Royse City","Rockwall County","Texas","672",""
"314","George West","Live Oak County","Texas","672",""
"315","Alvord","Wise County","Texas","672",""
"316","Campbell","Hunt County","Texas","672",""
"317","Riesel","McLennan County","Texas","672",""
"318","Wolfe City","Hunt County","Texas","671",""
"319","Comanche","Comanche County","Texas","671",""
"320","Ingram","Kerr County","Texas","671",""
"321","Bells","Grayson County","Texas","671",""
"322","La Coste","Medina County","Texas","671",""
"323","Mc Dade","Bastrop County","Texas","671",""
"324","Richards","Montgomery County","Texas","671",""
"325","Krum","Denton County","Texas","671",""
"326","Goliad","Goliad County","Texas","671",""
"327","Bruceville","McLennan County","Texas","671",""
"328","Rocksprings","Edwards County","Texas","671",""
"329","Aspermont","Stonewall County","Texas","671",""
"330","Aubrey","Denton County","Texas","671",""
"331","Sunray","Moore County","Texas","671",""
"332","Riviera","Kleberg County","Texas","671",""
"333","Huffman","Harris County","Texas","671",""
"334","Alpine","Brewster County","Texas","671",""
"335","Stockdale","Wilson County","Texas","671",""
"336","Roby","Fisher County","Texas","671",""
"337","Kingsland","Llano County","Texas","671",""
"338","Grapeland","Houston County","Texas","671",""
"339","Zavalla","Angelina County","Texas","671",""
"340","Paige","Bastrop County","Texas","670",""
"341","Larue","Henderson County","Texas","670",""
"342","Warren","Tyler County","Texas","670",""
"343","Graford","Palo Pinto County","Texas","670",""
"344","Ben Wheeler","Van Zandt County","Texas","670",""
"345","Sadler","Grayson County","Texas","670",""
"346","Mclean","Gray County","Texas","670",""
"347","Lovelady","Houston County","Texas","670",""
"348","North Zulch","Madison County","Texas","670",""
"349","Stephenville","Erath County","Texas","670",""
"350","Pinehurst","Montgomery County","Texas","670",""
"351","Harker Heights","Bell County","Texas","670",""
"352","Anna","Collin County","Texas","670",""
"353","Murchison","Henderson County","Texas","670",""
"354","Spur","Dickens County","Texas","669",""
"355","Universal City","Bexar County","Texas","669",""
"356","Wellington","Collingsworth County","Texas","669",""
"357","Liverpool","Brazoria County","Texas","669",""
"358","Alba","Wood County","Texas","669",""
"359","Bridgeport","Wise County","Texas","669",""
"360","Morgan","Bosque County","Texas","669",""
"361","Buffalo Gap","Taylor County","Texas","669",""
"362","Conroe","Montgomery County","Texas","669",""
"363","Floresville","Wilson County","Texas","669",""
"364","Fritch","Hutchinson County","Texas","669",""
"365","Whitewright","Grayson County","Texas","669",""
"366","Eustace","Henderson County","Texas","668",""
"367","Thornton","Limestone County","Texas","668",""
"368","Whitney","Hill County","Texas","668",""
"369","Shallowater","Lubbock County","Texas","668",""
"370","Anahuac","Chambers County","Texas","668",""
"371","Nevada","Collin County","Texas","668",""
"372","Holland","Bell County","Texas","668",""
"373","Ledbetter","Lee County","Texas","668",""
"374","Justin","Denton County","Texas","668",""
"375","Mineola","Wood County","Texas","668",""
"376","Edna","Jackson County","Texas","668",""
"377","Milano","Milam County","Texas","668",""
"378","Pointblank","San Jacinto County","Texas","668",""
"379","Avery","Red River County","Texas","668",""
"380","Giddings","Lee County","Texas","667",""
"381","Valley Mills","Bosque County","Texas","667",""
"382","Barry","Navarro County","Texas","667",""
"383","Denton","Denton County","Texas","667",""
"384","Little River Academy","Bell County","Texas","667",""
"385","Kress","Swisher County","Texas","667",""
"386","La Porte","Harris County","Texas","667",""
"387","Dike","Hopkins County","Texas","667",""
"388","Trinidad","Henderson County","Texas","667",""
"389","Three Rivers","Live Oak County","Texas","667",""
"390","Poolville","Parker County","Texas","667",""
"391","Camp Wood","Real County","Texas","667",""
"392","Carrollton","Dallas County","Texas","667",""
"393","Cookville","Titus County","Texas","667",""
"394","Dyess Afb","Taylor County","Texas","666",""
"395","Colmesneil","Tyler County","Texas","666",""
"396","Waxahachie","Ellis County","Texas","666",""
"397","Kountze","Hardin County","Texas","666",""
"398","New Waverly","Walker County","Texas","666",""
"399","Waller","Harris County","Texas","666",""
"400","Sheppard Afb","Wichita County","Texas","666",""
"401","Sanger","Denton County","Texas","666",""
"402","Arp","Smith County","Texas","666",""
"403","Goodfellow Afb","Tom Green County","Texas","666",""
"404","Bronte","Coke County","Texas","666",""
"405","De Leon","Comanche County","Texas","666",""
"406","Meridian","Bosque County","Texas","666",""
"407","Archer City","Archer County","Texas","666",""
"408","Kosse","Limestone County","Texas","666",""
"409","Cleveland","San Jacinto County","Texas","666",""
"410","Bowie","Montague County","Texas","666",""
"411","Blossom","Lamar County","Texas","666",""
"412","Wilson","Lynn County","Texas","666",""
"413","Chandler","Henderson County","Texas","665",""
"414","Wallis","Austin County","Texas","665",""
"415","Collinsville","Grayson County","Texas","665",""
"416","Caddo Mills","Hunt County","Texas","665",""
"417","Mc Queeney","Guadalupe County","Texas","665",""
"418","Perryton","Ochiltree County","Texas","665",""
"419","Bonham","Fannin County","Texas","665",""
"420","Buckholts","Milam County","Texas","665",""
"421","Chireno","Nacogdoches County","Texas","665",""
"422","Moody","McLennan County","Texas","665",""
"423","Rosebud","Falls County","Texas","665",""
"424","Rising Star","Eastland County","Texas","665",""
"425","Gordonville","Grayson County","Texas","665",""
"426","Telephone","Fannin County","Texas","665",""
"427","Howe","Grayson County","Texas","665",""
"428","Baird","Callahan County","Texas","665",""
"429","Troup","Cherokee County","Texas","665",""
"430","Roscoe","Nolan County","Texas","664",""
"431","Winnie","Chambers County","Texas","664",""
"432","Buffalo","Leon County","Texas","664",""
"433","Stinnett","Hutchinson County","Texas","664",""
"434","Jarrell","Williamson County","Texas","664",""
"435","Brazoria","Brazoria County","Texas","664",""
"436","Rhome","Wise County","Texas","664",""
"437","Eastland","Eastland County","Texas","664",""
"438","Apple Springs","Trinity County","Texas","664",""
"439","Evant","Coryell County","Texas","664",""
"440","Sweeny","Brazoria County","Texas","664",""
"441","Scurry","Kaufman County","Texas","664",""
"442","Wheeler","Wheeler County","Texas","664",""
"443","Porter","Montgomery County","Texas","664",""
"444","Boyd","Wise County","Texas","664",""
"445","Saltillo","Hopkins County","Texas","664",""
"446","Gainesville","Cooke County","Texas","664",""
"447","Rogers","Bell County","Texas","664",""
"448","Temple","Bell County","Texas","664",""
"449","White Oak","Gregg County","Texas","664",""
"450","Hull","Liberty County","Texas","664",""
"451","Calvert","Robertson County","Texas","664",""
"452","Hermleigh","Scurry County","Texas","664",""
"453","Bastrop","Bastrop County","Texas","663",""
"454","Florence","Williamson County","Texas","663",""
"455","Munday","Knox County","Texas","663",""
"456","Azle","Parker County","Texas","663",""
"457","Kirbyville","Jasper County","Texas","663",""
"458","Thrall","Williamson County","Texas","663",""
"459","Crosby","Harris County","Texas","663",""
"460","Pollok","Angelina County","Texas","663",""
"461","Hamilton","Hamilton County","Texas","663",""
"462","Avinger","Marion County","Texas","663",""
"463","Dickinson","Galveston County","Texas","663",""
"464","Mount Vernon","Franklin County","Texas","663",""
"465","Shelbyville","Shelby County","Texas","663",""
"466","Blessing","Matagorda County","Texas","663",""
"467","Hallsville","Harrison County","Texas","663",""
"468","Clyde","Callahan County","Texas","663",""
"469","Palacios","Matagorda County","Texas","663",""
"470","Buna","Jasper County","Texas","662",""
"471","Blue Ridge","Collin County","Texas","662",""
"472","Bangs","Brown County","Texas","662",""
"473","Pickton","Hopkins County","Texas","662",""
"474","San Angelo","Tom Green County","Texas","662",""
"475","Carlsbad","Tom Green County","Texas","662",""
"476","Crowley","Tarrant County","Texas","662",""
"477","Leonard","Fannin County","Texas","662",""
"478","Jewett","Leon County","Texas","662",""
"479","Angleton","Brazoria County","Texas","662",""
"480","Bogata","Red River County","Texas","662",""
"481","Iraan","Pecos County","Texas","662",""
"482","De Kalb","Bowie County","Texas","662",""
"483","Mount Calm","Hill County","Texas","662",""
"484","Bertram","Burnet County","Texas","662",""
"485","Dublin","Erath County","Texas","662",""
"486","Frankston","Anderson County","Texas","662",""
"487","Ozona","Crockett County","Texas","662",""
"488","Atlanta","Cass County","Texas","662",""
"489","Smithville","Bastrop County","Texas","662",""
"490","Godley","Johnson County","Texas","662",""
"491","Walnut Springs","Bosque County","Texas","662",""
"492","Brookston","Lamar County","Texas","662",""
"493","Forney","Kaufman County","Texas","662",""
"494","Burkburnett","Wichita County","Texas","661",""
"495","Covington","Hill County","Texas","661",""
"496","Eddy","McLennan County","Texas","661",""
"497","Ballinger","Runnels County","Texas","661",""
"498","Hawley","Jones County","Texas","661",""
"499","Van Vleck","Matagorda County","Texas","661",""
"500","Purdon","Navarro County","Texas","661",""
"501","Huntsville","Walker County","Texas","661",""
"502","Galveston","Galveston County","Texas","661",""
"503","Crowell","Foard County","Texas","661",""
"504","Bivins","Cass County","Texas","661",""
"505","Clifton","Bosque County","Texas","661",""
"506","Denver City","Yoakum County","Texas","661",""
"507","Onalaska","Polk County","Texas","661",""
"508","Euless","Tarrant County","Texas","661",""
"509","Stafford","Fort Bend County","Texas","661",""
"510","Petersburg","Hale County","Texas","661",""
"511","Groveton","Trinity County","Texas","661",""
"512","Woodsboro","Refugio County","Texas","661",""
"513","Chico","Wise County","Texas","660",""
"514","Diana","Upshur County","Texas","660",""
"515","Blooming Grove","Navarro County","Texas","660",""
"516","Midland","Midland County","Texas","660",""
"517","Livingston","Polk County","Texas","660",""
"518","Willis","Montgomery County","Texas","660",""
"519","Jbsa Lackland","Bexar County","Texas","660",""
"520","Linden","Cass County","Texas","660",""
"521","Boling","Wharton County","Texas","660",""
"522","Kopperl","Bosque County","Texas","660",""
"523","Savoy","Fannin County","Texas","660",""
"524","Seminole","Gaines County","Texas","659",""
"525","Cisco","Eastland County","Texas","659",""
"526","Hockley","Harris County","Texas","659",""
"527","Shamrock","Wheeler County","Texas","659",""
"528","Irving","Dallas County","Texas","659",""
"529","Hutto","Williamson County","Texas","659",""
"530","Brookshire","Waller County","Texas","659",""
"531","Celeste","Hunt County","Texas","659",""
"532","Earth","Lamb County","Texas","659",""
"533","Princeton","Collin County","Texas","658",""
"534","Oakwood","Freestone County","Texas","658",""
"535","Bryan","Brazos County","Texas","658",""
"536","Fairfield","Freestone County","Texas","658",""
"537","Honey Grove","Fannin County","Texas","658",""
"538","Martindale","Guadalupe County","Texas","658",""
"539","Rockdale","Milam County","Texas","658",""
"540","Troy","Bell County","Texas","658",""
"541","Lone Oak","Hunt County","Texas","658",""
"542","Santa Anna","Coleman County","Texas","658",""
"543","Coleman","Coleman County","Texas","658",""
"544","Olton","Lamb County","Texas","658",""
"545","Somerville","Burleson County","Texas","658",""
"546","Point","Rains County","Texas","658",""
"547","Fred","Tyler County","Texas","658",""
"548","Humble","Harris County","Texas","657",""
"549","Vidor","Orange County","Texas","657",""
"550","Port Isabel","Cameron County","Texas","657",""
"551","Trinity","Trinity County","Texas","657",""
"552","Garland","Dallas County","Texas","657",""
"553","El Campo","Wharton County","Texas","657",""
"554","Athens","Henderson County","Texas","657",""
"555","Lockney","Floyd County","Texas","657",""
"556","Orange","Orange County","Texas","657",""
"557","Huntington","Angelina County","Texas","657",""
"558","Como","Hopkins County","Texas","657",""
"559","Van","Van Zandt County","Texas","657",""
"560","Kemp","Kaufman County","Texas","657",""
"561","Tahoka","Lynn County","Texas","656",""
"562","Alvin","Brazoria County","Texas","656",""
"563","Winona","Smith County","Texas","656",""
"564","Bartlett","Williamson County","Texas","656",""
"565","Garrison","Nacogdoches County","Texas","656",""
"566","Elm Mott","McLennan County","Texas","656",""
"567","Gatesville","Coryell County","Texas","656",""
"568","New Boston","Bowie County","Texas","656",""
"569","Abilene","Taylor County","Texas","656",""
"570","Maud","Bowie County","Texas","656",""
"571","Woodville","Tyler County","Texas","656",""
"572","Big Sandy","Upshur County","Texas","656",""
"573","Newark","Wise County","Texas","656",""
"574","Mount Enterprise","Rusk County","Texas","656",""
"575","Dawson","Navarro County","Texas","656",""
"576","Dalhart","Dallam County","Texas","656",""
"577","Gardendale","Ector County","Texas","656",""
"578","Highlands","Harris County","Texas","655",""
"579","Childress","Childress County","Texas","655",""
"580","Hughes Springs","Cass County","Texas","655",""
"581","Fruitvale","Van Zandt County","Texas","655",""
"582","Port Lavaca","Calhoun County","Texas","655",""
"583","Malakoff","Henderson County","Texas","655",""
"584","Chillicothe","Hardeman County","Texas","655",""
"585","Silsbee","Hardin County","Texas","655",""
"586","Brownsboro","Henderson County","Texas","655",""
"587","Naples","Cass County","Texas","655",""
"588","Tyler","Smith County","Texas","655",""
"589","Presidio","Presidio County","Texas","655",""
"590","Bronson","Sabine County","Texas","655",""
"591","Cedar Hill","Dallas County","Texas","655",""
"592","Cuero","DeWitt County","Texas","655",""
"593","Sabinal","Uvalde County","Texas","655",""
"594","Talco","Franklin County","Texas","655",""
"595","Deport","Lamar County","Texas","655",""
"596","Cooper","Delta County","Texas","654",""
"597","Merkel","Taylor County","Texas","654",""
"598","Abernathy","Hale County","Texas","654",""
"599","Denison","Grayson County","Texas","654",""
"600","Dumas","Moore County","Texas","654",""
"601","Cedar Creek","Bastrop County","Texas","654",""
"602","Haskell","Haskell County","Texas","654",""
"603","Stanton","Martin County","Texas","654",""
"604","Greenville","Hunt County","Texas","654",""
"605","Gilmer","Upshur County","Texas","654",""
"606","Leesburg","Camp County","Texas","654",""
"607","Beaumont","Jefferson County","Texas","654",""
"608","Duncanville","Dallas County","Texas","654",""
"609","Queen City","Cass County","Texas","654",""
"610","Sundown","Hockley County","Texas","654",""
"611","Hempstead","Waller County","Texas","654",""
"612","Saratoga","Hardin County","Texas","654",""
"613","Red Oak","Ellis County","Texas","653",""
"614","Mabank","Henderson County","Texas","653",""
"615","Cushing","Nacogdoches County","Texas","653",""
"616","Groesbeck","Limestone County","Texas","653",""
"617","Friona","Parmer County","Texas","653",""
"618","Nolanville","Bell County","Texas","653",""
"619","Wills Point","Van Zandt County","Texas","653",""
"620","Atascosa","Bexar County","Texas","653",""
"621","Seguin","Guadalupe County","Texas","653",""
