state,city,population_percent_change,aggravated assault,arson,arson2,burglary,larceny theft,larceny- theft,motor vehicle theft,murder and nonnegligent manslaughter,property crime,rape,rape1,robbery,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,violent crime,population
alabama,addison,-0.013368805229876601,335.1,,,803.0,1747.9,,269.2,0.0,2820.2,0.0,,0.0,,,,,,335.1,738.0
illinois,addison,-0.0037421104373944747,81.0,7.2,1.4,200.4,1317.5,937.9,87.0,2.2,1529.0,41.3,44.9,41.6,,,,,,167.5,36676.0
texas,addison,0.0026402828726026506,311.9,18.7,18.9,601.5,3908.4,3054.0,587.2,2.5,4926.2,72.9,100.2,117.3,,,,,,515.5,16339.0
new york,addison town and village,-0.006430099863717564,119.4,0.0,0.0,39.7,651.4,202.3,24.0,0.0,625.3,40.2,0.0,0.0,,,,,,135.3,2471.0
michigan,addison township,0.0034013306505067398,42.7,0.0,0.0,134.4,309.3,135.3,39.6,0.0,448.5,20.4,15.0,6.0,,,,,,67.0,6653.0
ohio,addyston,0.0,213.7,,0.0,534.2,1602.6,,106.8,0.0,2243.6,,106.8,0.0,,,,,,320.5,936.0
georgia,adel,0.001871255619995349,418.7,0.0,0.0,1255.5,4327.2,,156.0,12.5,5738.7,,37.3,243.7,,,,,,724.9,5359.0
iowa,adel,0.03660492242975821,292.0,46.1,11.4,1409.8,1617.1,1421.3,182.8,0.0,3069.8,46.1,40.6,0.0,,,,,,335.3,5136.0
california,adelanto,0.0088467718571823,528.1,57.6,39.6,700.3,814.3,606.0,314.8,3.6,1787.8,66.2,70.5,133.8,,,,,,733.5,34491.0
georgia,adrian,0.0,154.3,0.0,,154.3,0.0,,0.0,0.0,154.3,,,0.0,,,,,,154.3,648.0
michigan,adrian,-0.007055530758186879,381.3,4.8,4.9,493.0,1668.0,1799.9,95.1,0.0,2322.1,184.3,182.0,58.6,,,,,,623.1,20334.0
minnesota,adrian,0.0,0.0,,0.0,82.0,,163.9,163.9,0.0,409.8,,0.0,0.0,,,,,,0.0,1220.0
missouri,adrian,-0.003465837423768381,248.1,41.7,0.0,820.5,1552.3,2188.9,186.6,0.0,2686.7,41.2,31.3,12.4,,,,,,297.7,1599.0
michigan,adrian township,-0.003583520271003504,35.8,0.0,0.0,83.9,153.5,96.2,12.0,0.0,235.1,39.9,16.0,0.0,,,,,,63.8,6239.0
missouri,advance,-0.004573778589606503,118.4,0.0,0.0,354.0,752.7,1121.9,29.8,0.0,1210.4,0.0,73.9,0.0,,,,,,148.0,1337.0
wyoming,afton,0.003507082576056808,10.1,0.0,0.0,139.9,1101.4,545.4,10.1,0.0,1140.2,0.0,0.0,0.0,,,,,,10.1,2017.0
new york,afton village,-0.004706615911109768,0.0,0.0,0.0,61.7,81.8,0.0,31.0,0.0,154.1,0.0,0.0,0.0,,,,,,0.0,796.0
massachusetts,agawam,-0.0008123259149542816,219.1,3.5,6.9,567.8,1003.6,793.4,88.0,0.0,1617.5,42.7,27.8,28.4,,,,,,284.2,28736.0
california,agoura hills,-0.004620466946250734,51.0,4.8,9.6,351.5,885.8,1088.3,88.5,0.0,1366.2,12.8,19.4,24.0,,,,,,90.5,20490.0
north carolina,ahoskie,-0.007498065426748912,556.4,10.1,41.9,1606.5,4116.7,3646.3,171.9,34.4,5738.3,,21.0,221.2,,,,,,852.9,4772.0
south carolina,aiken,0.00331187046764847,372.4,19.5,30.6,676.5,4408.2,4006.9,282.9,7.1,5290.3,75.0,82.1,117.6,,,,,,574.9,30922.0
washington,airway heights,0.0748916739051888,115.1,11.0,10.5,685.9,3414.5,3184.9,465.0,3.0,4508.1,44.0,47.8,52.6,,,,,,216.6,9545.0
minnesota,aitkin,-0.007197084959791877,78.7,0.0,0.0,287.1,2270.2,2015.1,129.7,0.0,2636.1,82.2,25.2,9.8,,,,,,147.9,1985.0
minnesota,akeley,0.00632019230060088,113.1,0.0,0.0,455.1,3466.4,3619.9,171.8,0.0,4131.6,0.0,0.0,0.0,,,,,,113.1,442.0
michigan,akron,-0.009356912025218378,53.5,0.0,0.0,520.3,1221.9,802.1,0.0,0.0,1658.2,429.9,129.2,0.0,,,,,,363.1,374.0
ohio,akron,0.00029842445827332753,421.2,43.7,42.5,1076.9,2594.0,2175.5,337.0,17.1,3924.2,101.1,98.7,195.1,,,,,,733.5,197882.0
pennsylvania,akron,0.0015945031073421045,99.7,8.3,0.0,104.8,480.2,371.9,24.9,0.0,588.2,33.3,0.0,0.0,,,,,,119.7,4033.0
new york,akron village,0.0,49.1,0.0,0.0,48.9,254.2,140.3,21.1,0.0,301.4,0.0,0.0,0.0,,,,,,49.1,2851.0
alabama,alabaster,0.017297506847722355,280.2,,,169.0,1375.7,,72.4,0.8,1617.1,5.1,0.0,16.7,,,,,,301.4,33501.0
florida,alachua,0.007785326680270543,330.7,10.0,14.9,460.9,2108.9,1896.7,136.1,4.0,2663.5,37.3,39.8,47.9,,,,,,420.8,10070.0
california,alameda,0.0007468513907264995,103.7,27.3,34.0,274.0,1853.7,2481.4,490.3,1.0,2743.6,11.7,14.5,108.5,,,,,,226.1,78907.0
georgia,alamo,0.0050258852402136345,48.9,0.0,0.0,117.1,658.0,,9.7,0.0,784.8,0.0,0.0,0.0,,,,,,48.9,3408.0
tennessee,alamo,-0.017130234589649462,291.6,0.0,0.0,270.0,849.3,2877.1,170.6,0.0,1695.5,28.7,85.8,0.0,,,,,,343.1,2294.0
texas,alamo,0.005288110878201913,589.1,13.6,10.2,598.5,4283.7,4230.5,255.2,1.0,5126.7,73.2,66.4,81.0,,,,,,741.6,19903.0
texas,alamo heights,0.01935366304705366,75.7,4.0,0.0,296.9,2217.4,1521.3,52.5,2.4,2427.6,11.8,5.7,18.7,,,,,,106.2,8808.0
new mexico,alamogordo,0.004334510695861216,301.7,3.2,,401.4,2606.1,1941.4,196.4,3.9,3071.0,31.9,19.0,18.6,,,,,,351.0,31832.0
colorado,alamosa,0.0020241606625697184,355.8,50.2,54.7,990.8,5162.9,3886.6,206.2,3.3,5934.5,120.5,124.2,66.6,,,,,,548.7,10086.0
georgia,alapaha,0.01066274376559928,100.4,0.0,0.0,152.1,556.0,,51.0,0.0,759.1,0.0,0.0,0.0,,,,,,100.4,667.0
texas,alba,0.0,0.0,,0.0,185.5,,927.6,185.5,0.0,1298.7,,0.0,0.0,,,,,,0.0,539.0
california,albany,0.0036241934734122516,40.0,9.9,10.0,408.2,2185.0,2659.0,264.3,2.0,2952.2,13.4,22.4,116.8,,,,,,175.9,20083.0
georgia,albany,-0.0009785976195861856,821.1,38.3,30.5,1184.6,3696.3,3319.2,269.7,20.3,5075.2,38.6,39.8,224.9,,,,,,1106.7,74989.0
illinois,albany,-0.006219950423693721,0.0,0.0,0.0,1054.2,867.3,,0.0,0.0,1921.5,57.1,455.1,0.0,,,,,,189.7,876.0
kentucky,albany,-0.00039931928820380325,16.6,24.9,0.0,49.9,199.3,50.0,66.5,0.0,265.9,0.0,0.0,16.6,,,,,,33.2,2001.0
minnesota,albany,0.009186782673564098,44.6,0.0,0.0,52.5,478.7,327.0,74.9,0.0,575.8,0.0,18.6,7.5,,,,,,59.5,2752.0
new york,albany,-0.0031604800648209475,538.3,11.2,15.4,461.8,2774.7,2381.2,126.3,6.3,3284.1,53.4,58.4,229.8,,,,,,829.8,97221.0
ohio,albany,-0.02069694229910346,0.0,0.0,0.0,382.4,1264.2,,54.5,0.0,1701.1,0.0,0.0,0.0,,,,,,0.0,899.0
oregon,albany,0.009729792504404422,43.5,18.1,24.8,283.8,2423.1,2258.5,198.7,1.4,2864.4,,16.5,34.2,,,,,,97.9,54993.0
wisconsin,albany,-0.004368670204815572,217.5,0.0,0.0,197.8,1159.6,804.8,59.6,0.0,1346.0,0.0,0.0,0.0,,,,,,217.5,994.0
north carolina,albemarle,0.0017320317827071996,511.1,45.8,59.0,1202.6,3332.9,4134.1,208.3,7.5,4904.0,,24.8,137.2,,,,,,690.9,16134.0
illinois,albers,0.0,0.0,0.0,,0.0,339.8,,0.0,0.0,339.8,0.0,,0.0,,,,,,0.0,1177.0
minnesota,albert lea,-0.0018760787475865515,105.4,3.8,8.5,430.9,1751.2,2165.1,114.5,0.0,2379.4,13.2,17.0,19.3,,,,,,139.4,17597.0
alabama,albertville,-0.0016435149735202215,53.4,,,843.6,2125.2,,394.0,0.0,3362.9,27.9,32.4,39.5,,,,,,122.0,21428.0
iowa,albia,-0.003138017598410703,192.3,0.0,13.4,391.2,903.4,966.4,125.7,0.0,1436.0,0.0,53.5,6.6,,,,,,225.7,3725.0
indiana,albion,0.0017271116910437811,315.9,0.0,,71.8,746.9,,115.0,14.3,933.7,0.0,86.4,14.3,,,,,,373.4,2324.0
michigan,albion,0.006703263674288529,834.8,52.8,18.0,841.7,2395.4,2481.7,162.0,7.3,3416.3,138.5,107.8,101.8,,,,,,1070.1,8462.0
pennsylvania,albion,-0.00068119448059345,171.4,22.8,68.6,564.3,923.3,,17.1,0.0,1504.6,45.5,0.0,0.0,,,,,,205.6,1466.0
new york,albion village,-0.006490093371746886,253.3,0.0,17.2,466.3,2452.9,1982.1,101.3,0.0,2926.3,84.4,42.5,63.9,,,,,,384.9,5802.0
new mexico,albuquerque,0.0007845167010287479,776.4,17.5,17.4,1141.6,4266.2,3672.1,1162.7,11.7,6619.8,85.5,85.4,365.4,,,,,,1232.7,561920.0
pennsylvania,alburtis,0.03354938069890112,51.7,0.0,0.0,25.7,325.1,,0.0,0.0,350.8,0.0,0.0,25.3,,,,,,77.0,2663.0
south dakota,alcester,-0.0101661699140696,164.9,42.6,0.0,331.2,219.9,806.5,33.6,0.0,731.4,44.3,0.0,0.0,,,,,,198.2,744.0
tennessee,alcoa,0.04103820932959312,633.9,30.8,19.7,500.6,4336.6,3343.2,393.5,11.7,5032.0,57.2,113.3,112.4,,,,,,837.6,10798.0
pennsylvania,aldan,-0.0010402479135614984,108.2,16.0,0.0,258.3,2270.9,,72.1,0.0,2601.3,16.0,24.1,30.0,,,,,,156.2,4157.0
west virginia,alderson,-0.012782691822787795,172.0,42.3,0.0,343.8,1716.5,,86.1,0.0,2146.4,0.0,0.0,0.0,,,,,,172.0,1151.0
illinois,aledo,-0.007208040626225265,0.0,0.0,0.0,209.5,961.8,870.1,22.9,0.0,1175.8,0.0,0.0,0.0,,,,,,0.0,3448.0
pennsylvania,aleppo township,-0.004647900399371019,20.9,0.0,0.0,10.7,277.0,589.2,21.4,0.0,371.5,0.0,0.0,0.0,,,,,,20.9,1867.0
arkansas,alexander,0.0393289394573868,386.5,17.6,17.8,530.7,1346.7,1629.0,201.6,42.9,2149.5,33.8,179.5,78.8,,,,,,614.9,3315.0
alabama,alexander city,-0.006914533165190528,1667.3,,,792.8,3143.1,,261.7,11.9,4197.6,43.0,47.5,91.9,,,,,,1815.2,14548.0
indiana,alexandria,-0.004367691378742267,79.4,19.9,0.0,471.3,1590.7,,126.0,6.6,2188.0,,119.9,19.9,,,,,,185.5,5004.0
kentucky,alexandria,0.018112872081130993,23.6,0.0,0.0,163.8,1392.2,980.2,100.2,4.1,1573.8,18.7,10.5,11.2,,,,,,54.4,9692.0
louisiana,alexandria,-0.007033340811048339,1314.9,0.0,0.0,2076.3,5856.3,6553.7,538.7,23.5,8610.9,37.0,26.6,298.5,,,,,,1669.8,46630.0
minnesota,alexandria,0.03282652932801633,192.1,2.4,3.6,250.8,2295.3,2486.7,180.3,1.7,2764.7,86.8,54.2,15.4,,,,,,282.9,13914.0
new hampshire,alexandria,-0.0007701151950024743,77.2,30.8,0.0,200.4,659.5,679.0,46.2,0.0,911.0,31.0,0.0,0.0,,,,,,92.7,1620.0
tennessee,alexandria,0.003211595533710865,404.4,68.2,0.0,446.8,1069.7,198.8,182.7,0.0,1525.1,66.7,0.0,121.9,,,,,,566.3,1006.0
virginia,alexandria,0.012203251229396805,94.8,4.0,3.1,104.2,1391.1,1235.7,199.1,2.9,1663.3,13.4,10.9,68.2,,,,,,178.3,162258.0
new york,alexandria bay village,-0.022020845586165128,93.3,0.0,0.0,63.0,681.2,,0.0,0.0,744.2,0.0,0.0,0.0,,,,,,93.3,1054.0
illinois,alexis,-0.007472724622656024,25.5,0.0,0.0,604.6,562.1,1273.9,151.7,0.0,1460.7,0.0,0.0,0.0,,,,,,25.5,785.0
new york,alfred village,-0.00020048066848132873,43.6,0.0,0.0,99.7,481.9,451.4,6.2,0.0,580.2,41.5,0.0,12.4,,,,,,87.2,3988.0
wisconsin,algoma,-0.004750020461216087,84.2,0.0,0.0,174.8,938.6,561.1,25.9,0.0,1063.7,21.7,65.4,6.5,,,,,,129.9,3030.0
iowa,algona,-0.0017641299137697297,279.6,9.2,0.0,164.9,359.4,351.0,77.9,0.0,600.1,55.0,9.1,0.0,,,,,,311.7,5413.0
washington,algona,0.005573975212240345,31.2,0.0,15.4,402.1,1056.3,1201.1,112.8,0.0,1600.2,31.6,30.8,24.9,,,,,,87.3,3247.0
illinois,algonquin,0.00338067699418243,42.7,16.4,4.8,75.8,1059.4,918.9,14.2,0.0,1121.4,18.4,17.7,7.7,,,,,,68.6,31016.0
tennessee,algood,0.04686197607392706,187.2,0.0,0.0,225.0,2647.9,3451.3,129.2,0.0,3162.8,40.6,44.5,9.1,,,,,,238.4,4549.0
california,alhambra,-0.003124776128920148,82.3,10.1,11.7,391.0,1585.2,1535.9,271.0,2.3,2237.3,14.0,16.4,96.4,,,,,,196.0,84837.0
texas,alice,-0.007876159705008545,445.2,38.9,52.3,1397.8,3814.2,3462.7,182.6,0.0,5306.7,47.0,39.3,24.9,,,,,,513.3,18858.0
alabama,aliceville,-0.0073771701393924305,299.0,,,255.9,618.2,,42.6,0.0,916.7,0.0,0.0,10.8,,,,,,309.8,2315.0
pennsylvania,aliquippa,-0.009181195858436242,521.8,0.0,0.0,596.5,818.6,,150.5,11.1,1565.6,27.3,11.1,102.5,,,,,,657.2,8946.0
california,aliso viejo,0.0058271411443120424,41.9,1.3,3.8,116.0,606.0,671.8,58.2,0.4,793.4,12.9,6.7,15.0,,,,,,67.8,52247.0
michigan,allegan,-0.0019731764430810372,145.8,0.0,19.8,70.9,1048.3,833.7,63.2,0.0,1139.4,111.6,69.2,19.7,,,,,,260.2,5038.0
new york,allegany village,-0.00564418896153529,46.9,0.0,0.0,69.5,479.3,468.7,11.7,0.0,558.3,0.0,0.0,0.0,,,,,,46.9,1707.0
pennsylvania,"allegheny township, blair county",-0.003975478718511227,490.7,30.2,15.1,94.4,1965.8,1566.3,30.2,0.0,2010.4,15.2,45.7,15.1,,,,,,533.1,6512.0
pennsylvania,"allegheny township, westmoreland county",-0.006865382568182143,53.2,0.0,,130.1,729.0,,12.3,0.0,871.3,0.0,,16.2,,,,,,69.3,8093.0
kentucky,allen,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,185.0
oklahoma,allen,-0.0012853375259151978,21.5,0.0,0.0,300.2,856.4,322.6,128.6,0.0,1178.4,0.0,0.0,42.9,,,,,,64.4,930.0
texas,allen,0.018582069966949666,47.1,0.0,0.0,135.5,971.5,940.9,55.3,0.4,1156.3,30.0,20.8,16.4,,,,,,90.2,105961.0
michigan,allen park,-0.003503419274001107,125.3,11.0,7.4,220.7,1543.3,1480.8,211.9,0.0,1963.4,26.9,33.3,36.1,,,,,,190.9,26945.0
new jersey,allendale,-0.0014652056140571634,11.7,0.0,0.0,125.3,542.0,382.6,29.2,0.0,664.7,4.9,0.0,0.0,,,,,,14.6,6795.0
south carolina,allendale,-0.0116240510019191,1321.5,33.2,135.8,1993.8,1672.5,2325.6,261.8,50.1,4091.4,0.0,51.0,183.8,,,,,,1580.9,2924.0
new jersey,allenhurst,-0.0012350545101205146,0.0,0.0,0.0,205.4,2718.1,1859.5,164.3,0.0,2916.1,0.0,0.0,0.0,,,,,,0.0,484.0
new hampshire,allenstown,0.00798641780175302,124.9,0.0,22.5,102.6,595.6,496.1,45.6,0.0,694.0,91.6,90.2,11.5,,,,,,227.3,4435.0
new jersey,allentown,-0.0020057994976110383,11.0,0.0,0.0,99.6,289.9,336.3,0.0,0.0,398.8,0.0,0.0,0.0,,,,,,11.0,1784.0
pennsylvania,allentown,0.00418817548342898,167.8,12.7,7.4,489.6,1897.0,1656.1,217.6,8.8,2555.9,44.5,55.2,191.3,,,,,,416.7,121855.0
nebraska,alliance,-0.01616644183153315,114.5,3.9,,381.4,1147.0,,68.0,0.0,1596.4,47.5,,3.9,,,,,,165.9,8122.0
ohio,alliance,-0.004462293862713684,253.7,41.1,37.0,488.1,2523.1,2201.0,119.0,1.8,3065.8,53.2,41.3,39.2,,,,,,343.2,21536.0
arkansas,alma,0.010767216959455705,449.9,0.0,0.0,733.8,4210.7,3074.0,189.1,0.0,4906.3,164.7,249.4,42.0,,,,,,690.5,5888.0
georgia,alma,-0.0051548990668705,431.8,9.6,14.0,2037.0,4540.2,2007.0,295.1,11.4,6365.6,0.0,42.0,175.6,,,,,,641.2,3438.0
kansas,alma,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,773.0
michigan,alma,-0.0073686586843747515,130.6,21.9,11.0,163.5,1176.3,1060.2,24.4,2.2,1341.0,73.1,94.0,15.6,,,,,,229.8,8866.0
missouri,alma,-0.005676174931766531,0.0,0.0,0.0,52.1,127.4,262.5,0.0,0.0,206.5,0.0,0.0,0.0,,,,,,0.0,381.0
wisconsin,alma,-0.02239819325739334,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,712.0
michigan,almont,0.008305306405234747,339.1,0.0,0.0,455.7,908.0,675.2,100.6,0.0,1417.8,143.8,35.5,7.3,,,,,,446.9,2814.0
michigan,alpena,-0.0057962205424209046,208.3,6.6,0.0,294.7,1768.7,1232.2,51.8,2.0,2007.9,151.8,225.2,17.9,,,,,,409.3,9901.0
new jersey,alpha,-0.003152965426970633,35.0,14.5,0.0,228.1,764.5,1326.3,8.7,0.0,1113.6,14.6,0.0,0.0,,,,,,43.8,2262.0
georgia,alpharetta,0.00912126385103651,31.2,3.6,0.7,169.0,1645.9,1259.4,60.2,1.2,1797.7,14.9,5.9,25.1,,,,,,65.4,67411.0
new jersey,alpine,-0.004465389687641985,10.8,0.0,0.0,127.7,357.2,107.8,288.3,0.0,723.4,17.8,0.0,10.5,,,,,,32.0,1856.0
texas,alpine,0.002274191126545144,139.6,22.3,33.4,376.2,430.2,182.7,60.1,13.3,817.1,11.1,16.7,0.0,,,,,,166.2,6021.0
illinois,alsip,-0.006580748703077677,41.3,6.9,7.8,405.2,1998.2,2007.4,201.3,4.2,2624.9,0.0,21.2,97.8,,,,,,151.8,18830.0
new hampshire,alstead,0.0007265903112796401,20.8,0.0,0.0,94.1,78.4,51.8,31.2,10.6,198.4,17.5,51.8,10.4,,,,,,73.0,1931.0
utah,alta,-0.0026007169986057566,0.0,0.0,0.0,129.9,3636.4,4438.6,130.5,0.0,4297.9,0.0,0.0,0.0,,,,,,0.0,383.0
kansas,alta vista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,419.0
illinois,altamont,-0.0020071633779703557,43.6,14.7,0.0,375.5,1089.9,702.4,34.9,0.0,1422.8,14.7,65.8,0.0,,,,,,78.7,2278.0
kansas,altamont,0.0,386.1,,0.0,0.0,772.2,,0.0,0.0,772.2,,96.5,0.0,,,,,,482.6,1036.0
new york,altamont village,-0.0034742126565566744,0.0,0.0,,87.1,521.9,,0.0,0.0,609.0,0.0,,29.0,,,,,,29.0,1721.0
florida,altamonte springs,0.010044020899422579,194.7,7.6,3.4,423.9,2742.3,2718.6,176.8,4.1,3338.2,47.6,34.0,72.5,,,,,,313.5,44582.0
virginia,altavista,-0.0043516525282574214,79.8,0.0,0.0,267.3,2725.0,,87.0,7.2,3079.2,29.0,0.0,21.7,,,,,,130.4,3417.0
florida,altha,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,504.0
georgia,alto,0.0051325817691429965,28.6,0.0,0.0,113.5,712.2,,28.3,0.0,854.0,0.0,0.0,0.0,,,,,,28.6,1178.0
illinois,alton,-0.004808452653345507,439.0,31.1,24.4,899.9,3017.0,3084.2,234.2,10.5,4164.5,99.5,105.7,111.6,,,,,,663.1,26360.0
missouri,alton,-0.007464847823356768,0.0,0.0,0.0,58.1,347.6,,0.0,0.0,405.6,0.0,0.0,0.0,,,,,,0.0,861.0
new hampshire,alton,0.001127608339281938,71.3,0.0,0.0,172.7,764.1,449.5,30.0,7.5,903.8,125.1,103.1,0.0,,,,,,195.0,5339.0
texas,alton,0.03854935134209181,97.8,3.9,5.7,266.4,1185.2,,96.5,0.0,1548.1,9.6,0.0,32.3,,,,,,137.3,17805.0
iowa,altoona,0.06041014980715409,114.2,32.5,10.8,278.2,2534.0,,100.2,0.0,2912.3,8.9,5.4,30.7,,,,,,152.6,18556.0
pennsylvania,altoona,-0.008745932335093687,208.6,26.7,18.3,381.5,1375.4,1107.6,92.0,2.3,1795.3,87.0,132.7,64.3,,,,,,380.4,43429.0
wisconsin,altoona,0.017846103061831764,39.1,0.0,0.0,176.6,659.7,1133.6,52.7,0.0,983.8,102.2,25.2,5.2,,,,,,85.7,7939.0
california,alturas,-0.007516645525569188,762.9,65.3,40.1,915.0,2456.5,526.1,286.5,16.1,3271.9,234.3,80.6,79.6,,,,,,1031.4,2471.0
