AREA|CODE
Abbott, TX|55608
Abbottstown, Adams County, PA|35426
Abbottstown, Adams, PA|13388
Abbottstown, PA|61278
Abbyville, KS|61293
Abell, MD|62877
Abercrombie, ND|55191
Aberdeen Proving Ground, MD|49539
Aberdeen, Bingham County, ID|29600
Aberdeen, Bingham, ID|9706
Aberdeen, Brown County, SD|21123
Aberdeen, Brown, OH|17605
Aberdeen, Brown, SD|1523
Aberdeen, Grays Harbor County, WA|21778
Aberdeen, Grays Harbor, WA|2137
Aberdeen, Harford County, MD|21581
Aberdeen, Harford, MD|2143
Aberdeen, ID|46459
Aberdeen, MD|38388
Aberdeen, MS|40643
Aberdeen, Monroe County, MS|27551
Aberdeen, Monroe, MS|15240
Aberdeen, Moore County, NC|22487
Aberdeen, Moore, NC|2901
Aberdeen, NC|39747
Aberdeen, NJ|56773
Aberdeen, OH|49670
Aberdeen, SD|64834
Aberdeen, WA|38609
Abernathy, Hale County, TX|29408
Abernathy, Hale, TX|9908
Abernathy, TX|46058
Abie, NE|54431
Abilene, Dickinson County, KS|26324
Abilene, Dickinson, KS|4677
Abilene, KS|46873
Abilene, TX|36405
Abilene, Taylor County, TX|19707
Abilene, Taylor, TX|229
Abingdon, Harford County, MD|21172
Abingdon, Harford, MD|1580
Abingdon, IL|46190
Abingdon, Knox County, IL|29474
Abingdon, Knox, IL|15297
Abingdon, MD|37897
Abingdon, VA|38043
Abingdon, Washington County, VA|21298
Abingdon, Washington, VA|1924
Abington Township, Lackawanna, PA|14097
Abington, Lackawanna County, PA|33348
Abington, Lackawanna, PA|18297
Abington, MA|39443
Abington, Montgomery County, PA|20343
Abington, Montgomery, PA|2683
Abington, PA|37032
Abington, Plymouth County, MA|22329
Abington, Plymouth, MA|2574
Abiquiu, NM|53588
Abita Springs, LA|41816
Abita Springs, Saint Tammany Parish, LA|25268
Abita Springs, Saint Tammany, LA|5809
Abram-Perezville, Hidalgo County, TX|29059
Abram-Perezville, Hidalgo, TX|15587
Abram-Perezville, TX|45331
Abrams, Oconto County, WI|33340
Abrams, Oconto, WI|14152
Abrams, WI|49730
Absaraka, ND|64256
Absarokee, MT|51584
Absecon, Atlantic County, NJ|25296
Absecon, Atlantic, NJ|5656
Absecon, NJ|41857
Acampo, CA|42671
Acampo, San Joaquin County, CA|27951
Acampo, San Joaquin, CA|14554
Accident, Garrett County, MD|30976
Accident, Garrett, MD|11504
Accident, MD|49381
Accokeek, MD|41488
Accokeek, Prince Georges County, MD|25165
Accokeek, Prince Georges, MD|6077
Accomac, Accomack, VA|16358
Accomac, VA|54289
Accord, NY|59677
Acequia, ID|51536
Achille, OK|57631
Ackerly, TX|60941
Ackerman, Choctaw County, MS|29361
Ackerman, Choctaw, MS|10061
Ackerman, MS|45959
Ackley, IA|47748
Ackworth, IA|56287
Acme, LA|63176
Acme, WA|58421
Acres Green, CO|50244
Acres Green, Douglas County, CO|31282
Acres Green, Douglas, CO|11068
Acton, CA|42144
Acton, Los Angeles County, CA|23932
Acton, Los Angeles, CA|6490
Acton, MA|38514
Acton, ME|48495
Acton, MT|61354
Acton, Middlesex County, MA|24284
Acton, Middlesex, MA|4944
Acton, York County, ME|34963
Acton, York, ME|10597
Acushnet, Bristol County, MA|24962
Acushnet, Bristol, MA|5411
Acushnet, MA|40971
Acworth, Cobb County, GA|19891
Acworth, Cobb, GA|466
Acworth, GA|36610
Acworth, NH|55618
Acworth, Sullivan County, NH|35311
Acworth, Sullivan, NH|12763
Ada, Hardin County, OH|32816
Ada, Hardin, OH|8359
Ada, MN|47643
Ada, OH|41692
Ada, OK|64805
Ada, Pontotoc County, OK|21566
Ada, Pontotoc, OK|1845
Adair Village, OR|49435
Adair, IA|52858
Adair, IL|60710
Adair, Mayes County, OK|31332
Adair, Mayes, OK|11576
Adair, OK|50386
Adairsville, Bartow County, GA|22357
Adairsville, Bartow, GA|2948
Adairsville, GA|39478
Adairville, KY|51636
Adams Center, Jefferson, NY|17923
Adams Center, NY|55575
Adams Run, SC|50512
Adams Township, Cambria, PA|15096
Adams, Adams County, WI|34459
Adams, Adams, WI|13981
Adams, Berkshire County, MA|25308
Adams, Berkshire, MA|16938
Adams, Cambria County, PA|32958
Adams, Cambria, PA|18928
Adams, Jefferson County, NY|29485
Adams, Jefferson, NY|17471
Adams, MA|41890
Adams, MN|55544
Adams, Montgomery County, TN|28340
Adams, Montgomery, TN|13125
Adams, ND|60433
Adams, NE|49127
Adams, NY|46213
Adams, OK|58997
Adams, OR|53388
Adams, PA|44503
Adams, TN|43763
Adams, WI|47610
Adamsburg, PA|62381
Adamsburg, Westmoreland, PA|18475
Adamstown, Frederick County, MD|29005
Adamstown, Frederick, MD|10156
Adamstown, MD|45234
Adamstown, PA|55444
Adamsville, AL|43693
Adamsville, Jefferson County, AL|28318
Adamsville, Jefferson, AL|8874
Adamsville, McNairy County, TN|25736
Adamsville, McNairy, TN|6893
Adamsville, OH|54114
Adamsville, PA|55134
Adamsville, TN|43205
Addieville, IL|57430
Addington, OK|54081
Addis, LA|54470
Addis, West Baton Rouge Parish, LA|32271
Addis, West Baton Rouge, LA|12639
Addison (Webster Springs), WV|64572
Addison (Webster Springs), Webster County, WV|33737
Addison (Webster Springs), Webster, WV|14596
Addison, AL|51007
Addison, Addison County, VT|33507
Addison, Addison, VT|15177
Addison, Dallas County, TX|24552
Addison, Dallas, TX|5684
Addison, Du Page, IL|1214
Addison, DuPage County, IL|20741
Addison, DuPage, IL|19297
Addison, IL|37426
Addison, Lenawee County, MI|34129
Addison, Lenawee, MI|13434
Addison, ME|57210
Addison, MI|47842
Addison, NY|48444
Addison, PA|53791
Addison, Steuben County, NY|30555
Addison, Steuben, NY|17565
Addison, TX|39800
Addison, VT|52606
Addison, WI|46488
Addison, Washington County, ME|35360
Addison, Washington County, WI|33095
Addison, Washington, ME|15871
Addison, Washington, WI|13910
Addison, Winston County, AL|35995
Addison, Winston, AL|15364
Addy, Stevens County, WA|33545
Addy, Stevens, WA|13504
Addy, WA|53743
Addyston, OH|58699
Adel, Cook County, GA|25253
Adel, Cook, GA|6038
Adel, Dallas County, IA|23936
Adel, Dallas, IA|5884
Adel, GA|41721
Adel, IA|42162
Adelanto, CA|37730
Adelanto, San Bernardino County, CA|21017
Adelanto, San Bernardino, CA|1583
Adeline, IL|54069
Adell, WI|63654
Adelphi, MD|40593
Adelphi, OH|63988
Adelphi, Prince Georges County, MD|27393
Adelphi, Prince Georges, MD|8317
Adena, OH|64122
Adin, CA|61450
Adjuntas, NM|38826
Admire, KS|55483
Adolphus, KY|48581
Adona, AR|58307
Adrian Township, Lenawee, MI|1859
Adrian, Bates County, MO|30316
Adrian, Bates, MO|10013
Adrian, GA|63476
Adrian, Lenawee County, MI|21457
Adrian, Lenawee, MI|16558
Adrian, MI|38238
Adrian, MN|48756
Adrian, MO|47928
Adrian, Nobles County, MN|34970
Adrian, Nobles, MN|15710
Adrian, OR|57034
Advance, Davie County, NC|22517
Advance, Davie, NC|3186
Advance, IN|63521
Advance, MO|62501
Advance, NC|39826
Advance, Stoddard County, MO|32759
Advance, Stoddard, MO|18983
Affton, MO|38882
Affton, Saint Louis County, MO|21977
Affton, Saint Louis, MO|2230
Afton, Chenango County, NY|30600
Afton, Chenango, NY|17541
Afton, Delaware County, OK|23215
Afton, Delaware, OK|3737
Afton, IA|62287
Afton, Lincoln County, WY|25995
Afton, Lincoln, WY|6647
Afton, MI|58453
Afton, MN|47072
Afton, NY|48536
Afton, Nelson County, VA|29134
Afton, Nelson, VA|11660
Afton, OK|43210
Afton, VA|45462
Afton, WY|44336
Afton, Washington County, MN|29897
Afton, Washington, MN|12743
Agate, CO|60159
Agawam, Hampden County, MA|21297
Agawam, Hampden, MA|2529
Agawam, MA|38042
Agency, IA|60044
Agency, MO|52971
Agness, OR|60803
Agoura Hills, CA|38414
Agoura Hills, Los Angeles County, CA|21603
Agoura Hills, Los Angeles, CA|2063
Agra, KS|62340
Agra, Lincoln, OK|14780
Agra, OK|52787
Agua Dulce, CA|46654
Agua Dulce, El Paso County, TX|24162
Agua Dulce, El Paso, TX|15930
Agua Dulce, Los Angeles County, CA|29696
Agua Dulce, Los Angeles, CA|16226
Agua Dulce, TX|46878
Aguadilla, AL|37340
Aguanga, CA|46907
Aguanga, Riverside County, CA|29823
Aguanga, Riverside, CA|12847
Aguas Claras, OR|49678
Aguila, AZ|54067
Aguilar, CO|57845
Ahmeek, MI|52070
Ahoskie, Hertford County, NC|26851
Ahoskie, Hertford, NC|5513
Ahoskie, NC|40383
Ahwahnee, CA|47671
Ahwahnee, Madera County, CA|30201
Ahwahnee, Madera, CA|10935
Aibonito, UT|44719
Aiea, HI|37445
Aiea, Honolulu County, HI|20759
Aiea, Honolulu, HI|1133
Aiken, Aiken County, SC|20126
Aiken, Aiken, SC|670
Aiken, SC|36810
Ailey, GA|62548
Ainsworth, IA|53569
Ainsworth, NE|51543
Airport Drive, Jasper County, MO|33628
Airport Drive, Jasper, MO|19242
Airport Drive, MO|57455
Airville, PA|47278
Airville, York County, PA|29998
Airville, York, PA|17552
Airway Heights, Spokane County, WA|28798
Airway Heights, Spokane, WA|13340
Airway Heights, WA|44784
Aitkin, Aitkin, MN|14512
Aitkin, MN|60291
Ajo, AZ|45636
Ajo, Pima County, AZ|26175
Ajo, Pima, AZ|6905
Akeley, Hubbard County, MN|30865
Akeley, Hubbard, MN|12582
Akeley, MN|49107
Akron, AL|54707
Akron, CO|47281
Akron, Erie County, NY|31484
Akron, Erie, NY|11948
Akron, Fulton County, IN|29569
Akron, Fulton, IN|11010
Akron, IA|49298
Akron, IN|46395
Akron, Lancaster County, PA|29271
Akron, Lancaster, PA|10471
Akron, MI|52320
Akron, NY|50787
Akron, OH|36292
Akron, PA|45763
Akron, Summit County, OH|19601
Akron, Summit, OH|135
Akron, Tuscola County, MI|34568
Akron, Tuscola, MI|14443
Alabama, Genesee County, NY|30709
Alabama, Genesee, NY|10918
Alabama, NY|48776
Alabaster, AL|37863
Alabaster, Shelby County, AL|21299
Alabaster, Shelby, AL|1793
Alachua, Alachua County, FL|22375
Alachua, Alachua, FL|3048
Alachua, FL|39519
Aladdin, WY|58626
Alamance, NC|62166
Alameda, Alameda County, CA|23439
Alameda, Alameda, CA|4146
Alameda, CA|36836
Alamo Heights, Bexar County, TX|23931
Alamo Heights, Bexar, TX|4518
Alamo Heights, TX|42139
Alamo, CA|39281
Alamo, Contra Costa County, CA|23627
Alamo, Contra Costa, CA|5049
Alamo, Crockett County, TN|29129
Alamo, Crockett, TN|10966
Alamo, GA|45674
Alamo, Hidalgo County, TX|23503
Alamo, Hidalgo, TX|4153
Alamo, IN|57410
Alamo, ND|60876
Alamo, NV|60907
Alamo, TN|45453
Alamo, TX|37338
Alamogordo, NM|37558
Alamogordo, Otero County, NM|20860
Alamogordo, Otero, NM|1222
Alamosa, Alamosa County, CO|24485
Alamosa, Alamosa, CO|5119
Alamosa, CO|39551
Alanson, Emmet County, MI|27358
Alanson, Emmet, MI|13911
Alanson, MI|44541
Alapaha, GA|54461
Alba, MI|63655
Alba, MO|51809
Alba, PA|64019
Alba, TX|63478
Albany Township, Berks, PA|11779
Albany, Alameda County, CA|27444
Albany, Alameda, CA|8148
Albany, Albany County, NY|19826
Albany, Albany, NY|348
Albany, Athens County, OH|33805
Albany, Athens, OH|15616
Albany, Berks County, PA|31777
Albany, Berks, PA|17795
Albany, CA|38948
Albany, Carroll County, NH|31838
Albany, Carroll, NH|11905
Albany, Clinton County, KY|36017
Albany, Delaware County, IN|29191
Albany, Delaware, IN|9796
Albany, Dougherty County, GA|19869
Albany, Dougherty, GA|362
Albany, GA|64789
Albany, Gentry County, MO|30338
Albany, Gentry, MO|19171
Albany, Green County, WI|33203
Albany, Green, WI|14332
Albany, IL|53552
Albany, IN|45574
Albany, KY|41846
Albany, LA|45723
Albany, Linn County, OR|20261
Albany, Linn, OR|798
Albany, Livingston Parish, LA|33832
Albany, Livingston, LA|14690
Albany, ME|60575
Albany, MN|49690
Albany, MO|47975
Albany, NH|51998
Albany, NY|36517
Albany, OH|44300
Albany, OR|36952
Albany, PA|51781
Albany, Shackelford County, TX|30914
Albany, Shackelford, TX|15712
Albany, Stearns County, MN|31107
Albany, Stearns, MN|10963
Albany, TX|49222
Albany, VT|56258
Albany, WI|47828
Albany, Whiteside County, IL|34012
Albany, Whiteside, IL|14831
Albemarle, NC|38157
Albemarle, Stanly County, NC|21389
Albemarle, Stanly, NC|1948
Albers, IL|64022
Albert City, Buena Vista County, IA|32213
Albert City, Buena Vista, IA|18817
Albert City, IA|54029
Albert Lea, Freeborn County, MN|22398
Albert Lea, Freeborn, MN|2874
Albert Lea, MN|64815
Albert, KS|61183
Alberta, AL|59424
Alberta, MN|61247
Alberta, VA|52093
Alberton, MT|52048
Alberton, Mineral, MT|18139
Albertson, Duplin, NC|18126
Albertson, NC|48665
Albertson, NY|44916
Albertson, Nassau County, NY|28852
Albertson, Nassau, NY|10088
Albertville, AL|37739
Albertville, MN|42814
Albertville, Marshall County, AL|21025
Albertville, Marshall, AL|1684
Albertville, Wright County, MN|25629
Albertville, Wright, MN|7641
Albia, IA|43352
Albia, Monroe County, IA|36097
Albin, WY|59842
Albion, Boone, NE|10544
Albion, CA|57589
Albion, Calhoun County, MI|26849
Albion, Calhoun, MI|7521
Albion, Dane County, WI|33360
Albion, Dane, WI|14147
Albion, Erie County, PA|31866
Albion, Erie, PA|11884
Albion, IA|56765
Albion, ID|52788
Albion, IL|45870
Albion, IN|42128
Albion, Kennebec, ME|16335
Albion, ME|51991
Albion, MI|40370
Albion, NE|48045
Albion, NY|42570
Albion, Noble County, IN|27803
Albion, Noble, IN|9456
Albion, Orleans County, NY|27924
Albion, Orleans, NY|17245
Albion, Oswego County, NY|30465
Albion, Oswego, NY|17650
Albion, PA|52168
Albion, WA|55502
Albion, WI|50105
Alborn, MN|60717
Albright, WV|48979
Albuquerque, Bernalillo County, NM|19500
Albuquerque, Bernalillo, NM|33
Albuquerque, NM|36187
Alburgh, Grand Isle County, VT|27289
Alburgh, Grand Isle, VT|7077
Alburgh, VT|51729
Alburnett, IA|56507
Alburnett, Linn, IA|18847
Alburtis, Lehigh County, PA|30687
Alburtis, Lehigh, PA|10811
Alburtis, PA|48728
Alcalde, NM|47562
Alcester, SD|48778
Alcoa, Blount County, TN|24876
Alcoa, Blount, TN|5999
Alcoa, TN|40717
Alcolu, Clarendon County, SC|35149
Alcolu, Clarendon, SC|15465
Alcolu, SC|51765
Alcova, WY|61692
Alda, NE|58288
Aldan, Delaware County, PA|29190
Aldan, Delaware, PA|9327
Aldan, PA|45573
Alden, Antrim County, MI|33504
Alden, Antrim, MI|15484
Alden, Erie County, NY|27750
Alden, Erie, NY|17219
Alden, IA|52095
Alden, KS|62593
Alden, MI|52588
Alden, MN|63522
Alden, NY|41855
Alder, MT|54263
Alderpoint, CA|62638
Alderson, Greenbrier County, WV|33148
Alderson, Greenbrier, WV|14358
Alderson, OK|63479
Alderson, WV|47149
Aldie, Loudoun County, VA|22524
Aldie, Loudoun, VA|3330
Aldie, VA|39840
Aldine, Harris County, TX|27465
Aldine, Harris, TX|8192
Aldora, GA|63165
Aldrich, MN|61989
Aldrich, MO|57170
Aledo, IL|59464
Aledo, Mercer County, IL|35752
Aledo, Mercer, IL|16180
Aledo, Parker County, TX|26588
Aledo, Parker, TX|12548
Aledo, TX|54083
Aleppo Township, Allegheny, PA|11726
Aleppo, Allegheny County, PA|31525
Aleppo, Allegheny, PA|17787
Aleppo, PA|50905
Alex, OK|55300
Alexander City, AL|38957
Alexander City, Tallapoosa County, AL|22030
Alexander City, Tallapoosa, AL|2421
Alexander, AR|61164
Alexander, Buncombe County, NC|28641
Alexander, Buncombe, NC|12185
Alexander, Genesee County, NY|30701
Alexander, Genesee, NY|17584
Alexander, IA|60994
Alexander, IL|58531
Alexander, ME|61220
Alexander, NC|44451
Alexander, ND|52449
Alexander, NY|48755
Alexandria Bay, NY|63223
Alexandria Township, Hunterdon, NJ|6349
Alexandria, AL|45348
Alexandria, Alexandria City, VA|192
Alexandria, Alexandria County, VA|35861
Alexandria, Calhoun County, AL|34806
Alexandria, Calhoun, AL|7925
Alexandria, Campbell County, KY|22341
Alexandria, Campbell, KY|2799
Alexandria, Dekalb County, TN|30753
Alexandria, Dekalb, TN|12291
Alexandria, Douglas County, MN|23050
Alexandria, Douglas, MN|3402
Alexandria, Grafton County, NH|31400
Alexandria, Grafton, NH|11403
Alexandria, Hunterdon County, NJ|26081
Alexandria, Hunterdon, NJ|17035
Alexandria, IN|40615
Alexandria, Jefferson County, NY|26715
Alexandria, Jefferson, NY|7949
Alexandria, KY|64675
Alexandria, LA|36996
Alexandria, Licking County, OH|33231
Alexandria, Licking, OH|10632
Alexandria, MN|64901
Alexandria, MO|60274
Alexandria, Madison County, IN|24840
Alexandria, Madison, IN|7550
Alexandria, NE|61547
Alexandria, NH|50569
Alexandria, NJ|44901
Alexandria, NY|46188
Alexandria, OH|48154
Alexandria, PA|54530
Alexandria, Rapides Parish, LA|20303
Alexandria, Rapides, LA|758
Alexandria, SD|54168
Alexandria, TN|48880
Alexandria, VA|36356
Alexis, IL|58651
Alexis, NC|60087
Alford, Berkshire, MA|19146
Alford, FL|50924
Alford, Jackson County, FL|31531
Alford, Jackson, FL|12175
Alford, MA|59890
Alfordsville, IN|59294
Alfred, ME|47266
Alfred, NY|64581
Alfred, York County, ME|29991
Alfred, York, ME|10060
Alger, Arenac County, MI|34258
Alger, Arenac, MI|16082
Alger, Hardin County, OH|33315
Alger, Hardin, OH|14406
Alger, MI|47209
Alger, OH|49395
Alger, Skagit, WA|18487
Alger, WA|62120
Algodones, NM|46707
Algoma, Kewaunee County, WI|32943
Algoma, Kewaunee, WI|15102
Algoma, MS|61473
Algoma, WI|41789
Algoma, Winnebago County, WI|26948
Algoma, Winnebago, WI|7612
Algona, IA|42537
Algona, King County, WA|29211
Algona, King, WA|10538
Algona, Kossuth County, IA|36018
Algona, Kossuth, IA|7649
Algona, WA|45618
Algonac, MI|41211
Algonac, Saint Clair County, MI|22964
Algonac, Saint Clair, MI|3288
Algonquin, IL|38051
Algonquin, McHenry County, IL|21304
Algonquin, McHenry, IL|1896
Algood, Putnam County, TN|32345
Algood, Putnam, TN|12575
Algood, TN|55005
Alhambra, CA|36654
Alhambra, IL|49935
Alhambra, Los Angeles County, CA|19964
Alhambra, Los Angeles, CA|463
Alhambra, Madison County, IL|31186
Alhambra, Madison, IL|11577
Alice, Jim Wells County, TX|33738
Alice, Jim Wells, TX|4884
Alice, ND|58228
Alice, TX|38016
Aliceville, AL|64159
Alicia, AR|58237
Aline, OK|58138
Aliquippa, Beaver County, PA|23030
Aliquippa, Beaver, PA|4444
Aliquippa, PA|41544
Aliso Viejo, CA|37207
Aliso Viejo, Orange County, CA|20508
Aliso Viejo, Orange, CA|994
Alkol, WV|54229
Allamuchy, NJ|55428
Allamuchy-Panther Valley, NJ|47699
Allamuchy-Panther Valley, Warren County, NJ|26391
Allamuchy-Panther Valley, Warren, NJ|6863
Allardt, Fentress, TN|18115
Allardt, TN|55691
Alledonia, OH|61793
Allegan, Allegan County, MI|22148
Allegan, Allegan, MI|2845
Allegan, MI|39131
Allegany, Cattaraugus County, NY|25887
Allegany, Cattaraugus, NY|17022
Allegany, NY|43828
Allegany, OR|54645
Allegany, PA|57613
Alleghany, CA|63119
Allegheny Township, Blair, PA|13775
Allegheny Township, Cambria, PA|14679
Allegheny Township, Westmoreland, PA|7584
Allegheny, Blair County, PA|27976
Allegheny, Blair, PA|18173
Allegheny, Butler, PA|18379
Allegheny, Cambria County, PA|35500
Allegheny, Cambria, PA|19363
Allegheny, PA|41670
Allegheny, Westmoreland County, PA|26939
Allegheny, Westmoreland, PA|17136
Alleman, IA|61966
Allen Park, MI|38135
Allen Park, Wayne County, MI|21373
Allen Park, Wayne, MI|1618
Allen Township, Northampton, PA|9205
Allen, Allegany County, NY|33604
Allen, Allegany, NY|18353
Allen, Collin County, TX|19892
Allen, Collin, TX|417
Allen, Hillsdale, MI|17932
Allen, KS|55481
Allen, KY|59969
Allen, MD|63894
Allen, MI|53138
Allen, NE|53709
Allen, NY|56210
Allen, Northampton County, PA|28706
Allen, Northampton, PA|18203
Allen, OK|47903
Allen, PA|44584
Allen, Pontotoc County, OK|30300
Allen, Pontotoc, OK|12203
Allen, TX|36582
Allendale Township, Ottawa, MI|4970
Allendale, Allendale, SC|19168
Allendale, Bergen County, NJ|25635
Allendale, Bergen, NJ|6192
Allendale, IL|52619
Allendale, MI|38404
Allendale, NJ|42826
Allendale, Ottawa County, MI|23552
Allendale, Ottawa, MI|16851
Allendale, SC|44987
Allenhurst, GA|43834
Allenhurst, Liberty County, GA|32912
Allenhurst, Liberty, GA|8922
Allenhurst, NJ|59448
Allenport, PA|64287
Allenport, Washington, PA|18625
Allenspark, Boulder County, CO|33702
Allenspark, Boulder, CO|13578
Allenspark, CO|61823
Allenstown, Merrimack County, NH|34965
Allenstown, Merrimack, NH|11148
Allenstown, NH|48511
Allensville, KY|49980
Allenton, MI|46895
Allenton, Saint Clair County, MI|33122
Allenton, Saint Clair, MI|9890
Allentown, GA|63365
Allentown, Lehigh County, PA|19732
Allentown, Lehigh, PA|252
Allentown, Monmouth County, NJ|31387
Allentown, Monmouth, NJ|11449
Allentown, NJ|50535
Allentown, PA|36429
Allenville, IL|54193
Allenville, MO|63886
Allerton, IA|53517
Allerton, IL|62782
Alleyton, TX|60303
Allgood, AL|63778
Alliance, NC|62481
Alliance, NE|40932
Alliance, OH|37630
Alliance, Stark County, OH|20931
Alliance, Stark, OH|1355
Alligator, MS|59408
Allison, Butler County, IA|35996
Allison, Butler, IA|14979
Allison, IA|51439
Allison, PA|57831
Allons, Overton County, TN|32205
Allons, Overton, TN|13718
Allons, TN|53981
Allouez, Brown County, WI|22572
Allouez, Brown, WI|2801
Allouez, MI|61275
Allouez, WI|39938
Alloway, NJ|61379
Allport, AR|64288
Allport, Lonoke, AR|18758
Allred, TN|59802
Allyn, Mason County, WA|31166
Allyn, Mason, WA|11529
Allyn, WA|49857
Alma Center, WI|52266
Alma, AR|47787
Alma, Allegany County, NY|36056
Alma, CO|53580
Alma, Crawford County, AR|30256
Alma, Crawford, AR|10249
Alma, Ellis, TX|18421
Alma, GA|41799
Alma, Gratiot County, MI|26833
Alma, Gratiot, MI|13757
Alma, IL|58006
Alma, KS|55765
Alma, MI|40188
Alma, MO|58667
Alma, NE|63990
Alma, NY|56561
Alma, Park County, CO|33538
Alma, Park, CO|18140
Alma, TX|48662
Alma, WI|51009
Alma, WV|58598
Almedia, Columbia County, PA|35387
Almedia, Columbia, PA|12974
Almedia, PA|58415
Almena, WI|55701
Almira, WA|59062
Almo, Calloway County, KY|31085
Almo, Calloway, KY|13730
Almo, KY|49720
Almond, Allegany County, NY|31906
Almond, Allegany, NY|17797
Almond, NY|52329
Almond, Portage County, WI|34508
Almond, Portage, WI|15223
Almond, WI|49950
Almont, CO|59369
Almont, Lapeer County, MI|27061
Almont, Lapeer, MI|7727
Almont, MI|43225
Almont, ND|59494
Almyra, AR|53158
Alna, ME|57319
Aloha, OR|37065
Aloha, Washington County, OR|21284
Aloha, Washington, OR|863
Alondra Park, CA|42218
Alondra Park, Los Angeles County, CA|27831
Alondra Park, Los Angeles, CA|8438
Alorton, IL|52398
Alorton, Saint Clair County, IL|35175
Alorton, Saint Clair, IL|12217
Alpaugh, CA|53247
Alpena, AR|51722
Alpena, Alpena County, MI|21967
Alpena, Alpena, MI|2210
Alpena, Carroll County, AR|31758
Alpena, Carroll, AR|19332
Alpena, MI|64785
Alpena, Newton, AR|17756
Alpena, SD|53987
Alpha, IL|63304
Alpha, KY|58241
Alpha, MI|53341
Alpha, MN|61043
Alpha, NJ|49342
Alpha, Warren County, NJ|30960
Alpha, Warren, NJ|10705
Alpharetta, Fulton County, GA|20089
Alpharetta, Fulton, GA|1073
Alpharetta, GA|36771
Alpine Township, Kent, MI|13821
Alpine, AZ|62615
Alpine, Apache County, AZ|32765
Alpine, Apache, AZ|18127
Alpine, Bergen County, NJ|27294
Alpine, Bergen, NJ|8007
Alpine, Brewster County, TX|25396
