city,city_code,latitude,longitude,reverse_address,state,ZRIFAH
quartzsite town,48701|33270|7911,33.6639137,-114.2299486,"775 W Main St, Quartzsite, AZ 85346, USA",arizona,1.072
safford,39188|22188|2814,32.8339546,-109.70758,"515 S 1st Ave, Safford, AZ 85546, USA",arizona,0.812
sahuarita town,37765|21048|2062,31.9575818,-110.955646,"1130 E Sahuarita Rd, Sahuarita, AZ 85629, USA",arizona,0.69
san luis,39632|27473|8166,32.4869996,-114.7821796,"503 Main St, San Luis, AZ 85349, USA",arizona,0.73
scottsdale,36253|19564|109,33.4941704,-111.9260519,"4017 N Scottsdale Rd, Scottsdale, AZ 85251, USA",arizona,1.26
sedona,38996|22059|2504,34.8697395,-111.7609896,"247 AZ-89A, Sedona, AZ 86336, USA",arizona,1.228
show low,38956|22028|2612,34.2542084,-110.0298327,"1152 US-60, Show Low, AZ 85901, USA",arizona,0.828
sierra vista,37186|20494|912,31.5455001,-110.2772856,"2031 E Tiffany Pl, Sierra Vista, AZ 85635, USA",arizona,0.632
springerville town,48130|30400|7226,34.1333799,-109.2859196,"5 S Mountain Ave, Springerville, AZ 85938, USA",arizona,
surprise,36418|19721|261,33.6292337,-112.3679279,"16000 N Civic Center Plaza, Surprise, AZ 85374, USA",arizona,0.806
tempe,36322|19632|165,33.4255104,-111.9400054,"501 S Mill Ave, Tempe, AZ 85281, USA",arizona,1.028
thatcher town,43336|25773|6517,32.8492323,-109.7592479,"3544 W Main St, Thatcher, AZ 85552, USA",arizona,0.722
tolleson,64687|27496|8578,33.4500425,-112.259321,"9257 W Van Buren St, Tolleson, AZ 85353, USA",arizona,0.896
tombstone,53176|32086|12851,31.7128683,-110.0675764,"330 E Allen St, Tombstone, AZ 85638, USA",arizona,0.596
tucson,36169|19485|29,32.2226066,-110.9747108,"255 W Alameda St, Tucson, AZ 85701, USA",arizona,0.858
wellton hills,44480|26023|6494,32.624404,-114.1394764,"21182 Cleator Ave, Wellton, AZ 85356, USA",arizona,0.704
wellton town,44480|26023|6494,32.6728256,-114.1468821,"28673 Los Angeles Ave, Wellton, AZ 85356, USA",arizona,0.704
wickenburg town,42656|23166|3640,33.9697664,-112.7301882,"131 E Apache St, Wickenburg, AZ 85390, USA",arizona,0.976
willcox,41210|25050|3426,32.2528519,-109.8320124,"125 N Haskell Ave, Willcox, AZ 85643, USA",arizona,0.538
williams,43440|25796|3587,35.24945659999999,-112.1910031,"417 W Historic Rte 66, Williams, AZ 86046, USA",arizona,1.066
yuma,36376|19681|194,32.6926512,-114.6276916,"647-699 W 19th St, Yuma, AZ 85364, USA",arizona,0.702
bella vista town,38227|21495|1901,36.481464,-94.2732642,"1 Hatcher Dr, Bella Vista, AR 72715, USA",arkansas,0.724
bentonville,37175|20884|2183,36.3728538,-94.2088172,"100 S Main St, Bentonville, AR 72712, USA",arkansas,0.762
blytheville,39918|26817|5110,35.9272953,-89.9189753,"646 E Main St, Blytheville, AR 72315, USA",arkansas,
el dorado,39587|24500|5077,33.20763,-92.6662674,"469599 Barton St, El Dorado, AR 71730, USA",arkansas,
hot springs,36880|20370|1326,34.5037004,-93.0551795,"Central Ave & W Grand St, Hot Springs, AR 71901, USA",arkansas,0.642
jacksonville,37484|20795|1399,34.8662005,-92.1101458,"102 veterans Cir, Jacksonville, AR 72076, USA",arkansas,0.624
little rock,36301|19611|140,34.7464809,-92.2895948,"112-172 State Capitol, Little Rock, AR 72201, USA",arkansas,0.718
maumelle,38657|21813|2744,34.8667565,-92.4043219,"1100 Edgewood Dr, Maumelle, AR 72113, USA",arkansas,0.738
mountain home,38196|21424|3543,36.3353949,-92.381346,"409 E 6th St, Mountain Home, AR 72653, USA",arkansas,0.634
north little rock,36789|20103|633,34.769536,-92.2670941,"1608 Main St, North Little Rock, AR 72114, USA",arkansas,0.626
pine bluff,64825|20537|939,34.2284312,-92.0031955,"129 S Main St, Pine Bluff, AR 71601, USA",arkansas,0.498
springdale,36793|20107|721,36.18674420000001,-94.1288141,"208-298 E Johnson Ave, Springdale, AR 72764, USA",arkansas,0.74
texarkana,37550|24200|4861,33.4417915,-94.0376881,"1924 County Ave, Texarkana, AR 71854, USA",arkansas,0.606
west memphis,38386|21577|4916,35.1464797,-90.1845388,"101 E Broadway Blvd, West Memphis, AR 72301, USA",arkansas,0.624
adelanto,37730|21017|1583,34.5827699,-117.409215,"11715 Lee Ave, Adelanto, CA 92301, USA",california,0.874
agoura hills,38414|21603|2063,34.1533395,-118.7616764,"29170 Quail Run Dr, Agoura Hills, CA 91301, USA",california,1.948
alameda,23439|4146|36836,37.7652065,-122.2416355,"Santa Clara Av:Park St, Alameda, CA 94501, USA",california,2.234
albany,27444|8148|38948,37.88687,-122.2977475,"999 San Pablo Ave, Albany, CA 94706, USA",california,2.728
alhambra,36654|19964|463,34.095287,-118.1270146,"Main / Garfield, Alhambra, CA 91801, USA",california,1.906
aliso viejo,37207|20508|994,33.5684605,-117.7262981,"36 Journey, Aliso Viejo, CA 92656, USA",california,2.05
alturas,45632|24051|4668,41.4871146,-120.5424555,"346 N Main St, Alturas, CA 96101, USA",california,
american canyon,38620|24302|5002,38.1749178,-122.2608044,"100 Joan Dr, American Canyon, CA 94503, USA",california,1.346
anaheim,36214|19526|54,33.8365932,-117.9143012,"255 Anaheim Blvd, Anaheim, CA 92805, USA",california,1.934
anderson,38410|21599|2601,40.448208,-122.2977815,"2765-2799 CA-273, Anderson, CA 96007, USA",california,1.052
angels,13750,38.0677832,-120.5385299,"1349 S Main St, Angels Camp, CA 95222, USA",california,1.06
antioch,36503|19833|370,38.0049214,-121.805789,"1715 E 18th St, Antioch, CA 94509, USA",california,1.396
apple valley town,36699|20013|587,34.5008311,-117.1858759,"21910 Outer Hwy 18 N, Apple Valley, CA 92307, USA",california,0.818
arcadia,36854|20167|690,34.1397292,-118.0353449,"100 W Huntington Dr, Arcadia, CA 91007, USA",california,1.974
arcata,38829|27440|8152,40.8665166,-124.0828396,"700 D St, Arcata, CA 95521, USA",california,1.082
arroyo grande,37994|21255|1689,35.1185868,-120.5907252,"113 S Rena St, Arroyo Grande, CA 93420, USA",california,1.434
artesia,39322|27452|8162,33.8658484,-118.0831212,"18163 Pioneer Blvd, Artesia, CA 90701, USA",california,1.938
arvin,38839|27442|8147,35.2017986,-118.833105,"5701 Franklin St, Arvin, CA 93203, USA",california,0.968
atascadero,37818|21097|1498,35.4894169,-120.6707255,"5940 El Camino Real, Atascadero, CA 93422, USA",california,1.428
atherton town,42409|27881|8509,37.4613272,-122.197743,"3295 El Camino Real, Atherton, CA 94027, United States",california,4.614
atwater,37547|20849|1410,37.3477174,-120.609084,"1298 Cedar Ave, Atwater, CA 95301, USA",california,0.914
auburn,37279|20593|1108,38.8965654,-121.0768901,"101 Maple St, Auburn, CA 95603, USA",california,1.196
avalon,46482|29613|9767,33.3428193,-118.3282279,"301 Beacon St, Avalon, CA 90704, USA",california,2.436
avenal,40016|27495|8275,36.0041223,-120.1290272,"700 Skyline Blvd, Avenal, CA 93204, USA",california,0.878
azusa,36974|20280|790,34.1336186,-117.9075627,"88 Auspicious Dr, Azusa, CA 91702, USA",california,1.894
bakersfield,36211|19523|64,35.3732921,-119.0187125,"1401-1499 Truxtun Ave, Bakersfield, CA 93301, USA",california,0.898
baldwin park,36745|20059|556,34.0852868,-117.9608978,"3972 Maine Ave, Baldwin Park, CA 91706, USA",california,1.864
banning,37751|21038|1517,33.9255713,-116.8764103,"6 N San Gorgonio Ave, Banning, CA 92220, USA",california,1.158
barstow,37679|20972|1372,34.8957957,-117.0172826,"315 Melissa Ave, Barstow, CA 92311, USA",california,0.85
beaumont,37309|20625|1190,33.9294606,-116.977248,"380 E 6th St, Beaumont, CA 92223, USA",california,1.032
bell gardens,37372|27417|8120,33.9652918,-118.1514588,"6345 Florence Ave, Bell Gardens, CA 90201, USA",california,2.154
bellflower,36734|20046|519,33.8816818,-118.1170117,"17053 Bellflower Bike Trail, Bellflower, CA 90706, USA",california,1.896
belmont,38192|27389|8098,37.5202145,-122.2758008,"1025 Belmont Station underpass, Belmont, CA 94002, USA",california,2.742
belvedere,50053|31226|11062,37.8727044,-122.4644171,"105 Acacia Ave, Belvedere Tiburon, CA 94920, USA",california,4.58
benicia,38286|24255|4949,38.049365,-122.1585777,"632 1st St, Benicia, CA 94510, USA",california,1.734
berkeley,23437|262|36447,37.8715926,-122.272747,"University Ave. at Martin Luther King Jr. Way, Berkeley, CA 94704, USA",california,2.596
beverly hills,37686|20979|1331,34.0736204,-118.4003563,"486-498 N Rexford Dr, Beverly Hills, CA 90210, USA",california,4.248
big bear city,40622|22817|3165,34.2611183,-116.84503,"112 CA-38, Big Bear, CA 92314, USA",california,1.212
big bear lake,44272|23256|3915,34.2438963,-116.9114215,"40824 Big Bear Blvd, Big Bear Lake, CA 92315, USA",california,1.276
biggs,30972|11939|49368,39.4123876,-121.7127513,"2997 8th St, Biggs, CA 95917, USA",california,1.006
bishop,40061|24630|4320,37.3614238,-118.3996636,"487 W Line St, Bishop, CA 93514, USA",california,1.172
blythe,38709|23573|4203,33.6177725,-114.5882607,"Chanslorway & 7th St., Blythe, CA 92225, USA",california,1.102
brawley,38800|26767|7472,32.9786566,-115.530267,"111 N 8th St, Brawley, CA 92227, USA",california,0.908
brea,37277|20591|1121,33.916475,-117.9002918,"Brea-Imperial, Brea, CA 92821, USA",california,1.776
brentwood,36837|20121|750,37.931868,-121.6957863,"Brentwood Blvd & Oak St, Brentwood, CA 94513, USA",california,1.194
brisbane,45135|28963|9193,37.6807661,-122.3999715,"500 San Bruno Ave, Brisbane, CA 94005, USA",california,2.696
buellton,43662|25847|9075,34.613597,-120.1926505,"51 E Hwy 246, Buellton, CA 93427, USA",california,1.554
buena park,36652|19960|442,33.8674044,-117.9981387,"Beach-Auto Center Drive, Buena Park, CA 90621, USA",california,2.058
burbank,36514|19823|301|28487|8821,34.1808392,-118.3089661,"Burbank airport, Burbank, CA 91502, USA",california,2.278
burlingame,37867|27379|8097,37.5778696,-122.34809,"1401 Burlingame Ave, Burlingame, CA 94010, USA",california,2.892
calabasas,38510|21687|2719,34.1367208,-118.6614809,"3715 Cll Jazmin, Calabasas, CA 91302, USA",california,2.1
calexico,37668|26745|7460,32.6789476,-115.4988834,"1011 S Imperial Ave, Calexico, CA 92231, USA",california,0.896
california city,40797|22867|3074,35.125801,-117.9859038,"7987 California City Blvd, California City, CA 93505, USA",california,0.776
calimesa,40449|24772|5283,34.0039039,-117.0619755,"996 County Line Rd, Calimesa, CA 92320, USA",california,1.2
calistoga,42196|25416|5906,38.5787965,-122.5797054,"PO Box 302, Calistoga, CA 94515, United States",california,2.37
camarillo,36693|20006|563,34.2163937,-119.0376023,"2402 Ventura Blvd, Camarillo, CA 93010, USA",california,1.634
campbell,37384|24189|4854,37.2871651,-121.9499568,"486 E Campbell Ave, Campbell, CA 95008, USA",california,2.464
capitola,41383|27660|8414,36.9752283,-121.953293,"501 Capitola Ave, Capitola, CA 95010, USA",california,2.656
carlsbad,36485|19793|323,33.1580933,-117.3505939,"3016 Carlsbad Blvd, Carlsbad, CA 92008, USA",california,1.698
carmel valley village,3035,36.4799024,-121.7327931,"3 Village Dr, Carmel Valley, CA 93924, USA",california,2.502
carmel-by-the-sea,39772|22493|4108,36.5552386,-121.9232879,"800 Ocean Ave, Carmel-By-The-Sea, CA 93923, USA",california,2.644
carpinteria,39402|24440|5079,34.39888380000001,-119.5184564,"991 Linden Ave, Carpinteria, CA 93013, USA",california,
carson,36714|20029|515,33.8316745,-118.281693,"Carson St at Moneta Av, Carson, CA 90745, USA",california,1.83
cathedral city,37191|20500|938,33.7805388,-116.4668036,"68895 Perez Road Units 1-4, Cathedral City, CA 92234, United States",california,1.288
ceres,37450|23505|4162,37.5949316,-120.9577098,"2029 E Whitmore Ave, Ceres, CA 95307, USA",california,1.016
cerritos,37202|20511|1057,33.8583483,-118.0647871,"12506 South St, Cerritos, CA 90703, USA",california,1.698
chico,19776|289|64750,39.7284944,-121.8374777,"3199 plummer drive, Chico, CA 95928, USA",california,1.122
chino,36623|19930|453,34.0122346,-117.688944,"13271 Central Ave, Chino, CA 91710, USA",california,1.424
chino hills,36796|20111|639,33.9898188,-117.7325848,"3316 Eucalyptus Ave, Chino Hills, CA 91709, USA",california,1.596
chowchilla,38546|23562|4194,37.1229997,-120.2601754,"200 Robertson Blvd, Chowchilla, CA 93610, USA",california,0.786
chula vista,36245|19556|92,32.6400541,-117.0841955,"302 4th Ave, Chula Vista, CA 91910, USA",california,1.546
citrus heights,36642|19949|441,38.7071247,-121.2810611,"7754 Mariposa Ave, Citrus Heights, CA 95610, USA",california,1.232
claremont,37585|20883|1706,34.0966764,-117.7197785,"315 N Indian Hill Blvd, Claremont, CA 91711, USA",california,1.484
clayton,40062|24631|5537,37.9410341,-121.9357925,"1030 Diablo St, Clayton, CA 94517, USA",california,1.62
clearlake,39862|22534|3649,38.9582307,-122.6263728,"15427 Duncan Ave, Clearlake, CA 95422, USA",california,1.078
cloverdale,41086|25006|8315,38.8054624,-123.0172227,"108 N Cloverdale Blvd, Cloverdale, CA 95425, USA",california,1.79
clovis,36450|19752|293,36.8252277,-119.7029194,"508 4th St, Clovis, CA 93612, USA",california,0.942
coachella,37324|20638|4159,33.6803003,-116.173894,"85900 Grapefruit Blvd, Coachella, CA 92236, USA",california,1.234
coalinga,38876|24338|4960,36.139678,-120.3601496,"100-198 Coalinga Plaza, Coalinga, CA 93210, USA",california,0.848
colton,37035|20347|799,34.0739016,-117.3136547,"816 Colton Ave, Colton, CA 92324, USA",california,1.318
colusa,41986|27779|8432,39.2143343,-122.0094175,"Serving Your Area, Colusa, CA 95932, United States",california,1.04
compton,36395|19699|230,33.8958492,-118.2200712,"298 E Compton Blvd, Compton, CA 90221, USA",california,2.132
concord,36407|19709|245,37.9779776,-122.0310733,"2349 Willow Pass Rd, Concord, CA 94520, USA",california,1.926
corcoran,38268|27427|8129,36.098007,-119.5604015,"1025 Whitley Ave, Corcoran, CA 93212, USA",california,0.842
corning,39628|24509|4407,39.9276572,-122.1791556,"1081 Solano St, Corning, CA 96021, USA",california,0.9
corona,36283|19591|91,33.8752935,-117.5664384,"114 E 6th St, Corona, CA 92879, USA",california,1.27
coronado,38434|21621|2148,32.6858853,-117.1830891,"827 Tolita Ave, Coronado, CA 92118, USA",california,3.728
costa mesa,36464|19770|280,33.6412156,-117.9188221,"1209 Harbor Blvd, Costa Mesa, CA 92627, USA",california,2.178
cotati,40857|27580|8265,38.3293416,-122.7096666,"7885A Old Redwood Hwy, Cotati, CA 94931, USA",california,1.976
covina,36708|20024|524,34.0900091,-117.8903397,"413 N Citrus Ave, Covina, CA 91723, USA",california,1.694
crescent city,38812|21930|2369,41.7557501,-124.2025913,"701 9th St, Crescent City, CA 95531, USA",california,
culver city,37516|23442|1315,34.0211224,-118.3964665,"9900 Culver Blvd, Culver City, CA 90232, USA",california,2.85
cupertino,36984|24181|4844,37.3229978,-122.0321823,"20451 Stevens Creek Blvd, Cupertino, CA 95014, USA",california,2.642
cypress,37198|20509|1104,33.8169366,-118.0368507,"Ball-Walker, Cypress, CA 90630, USA",california,1.858
daly city,36536|19842|341,37.6879241,-122.4702079,"95 Washington St, Daly City, CA 94014, USA",california,3.002
dana point,37718|21446|1716,33.4672256,-117.6981014,"34181 Pacific Coast Hwy, Dana Point, CA 92629, USA",california,2.272
danville town,37084|20392|966,37.8215929,-121.9999606,"381-395 Hartz Ave, Danville, CA 94526, USA",california,1.86
davis,36829|23499|4148,38.5449065,-121.7405167,"615 3rd St, Davis, CA 95616, USA",california,1.528
del mar,46215|26255|6681,32.9594891,-117.2653146,"1500 Camino Del Mar, Del Mar, CA 92014, USA",california,4.262
del rey oaks,51404|31681|11476,36.5932934,-121.8349515,"Via Verde / Canyon Del Rey, Del Rey Oaks, CA 93940, USA",california,2.128
delano,37091|27416|8118,35.7688425,-119.2470536,"998 S High St, Delano, CA 93215, USA",california,0.978
desert hot springs,37292|20606|1056,33.961124,-116.5016784,"12021 Palm Dr, Desert Hot Springs, CA 92240, USA",california,1.084
diamond bar,37212|20518|1036,34.0286226,-117.8103367,"504 N Diamond Bar Blvd, Diamond Bar, CA 91765, USA",california,1.556
dinuba,37816|24214|8124,36.5432837,-119.3870656,"401 E Tulare St, Dinuba, CA 93618, USA",california,0.874
dixon,38526|24288|4958,38.4454641,-121.8232958,"131 W A St, Dixon, CA 95620, USA",california,1.312
dos palos,40820|27575|7587,36.9860582,-120.6265722,"1427 Center Ave, Dos Palos, CA 93620, USA",california,0.948
downey,36470|19778|269,33.9401088,-118.1331593,"Firestone / Downey, Downey, CA 90241, USA",california,1.774
duarte,38664|24308|4990,34.1394513,-117.9772873,"Huntington Dr and Buena Vista St E, Duarte, CA 91010, USA",california,1.83
dublin,20527|1283|37218,37.7021521,-121.9357918,"7007 San Ramon Rd, Dublin, CA 94568, USA",california,1.924
dunsmuir,51264|31637|12009,41.2082089,-122.2719529,"5957 Sacramento Ave, Dunsmuir, CA 96025, USA",california,1.094
el cajon,36333|19641|168,32.7947731,-116.9625269,"124 S Magnolia Ave, El Cajon, CA 92020, USA",california,1.624
el centro,37053|20363|953,32.792,-115.5630514,"950 W State St, El Centro, CA 92243, USA",california,0.878
el cerrito,38402|24276|4188,37.9161326,-122.310765,"3060 El Cerrito Plaza #331, El Cerrito, CA 94530, United States",california,2.114
el monte,36467|19774|299,34.0686206,-118.0275667,"3400 Peck Rd, El Monte, CA 91731, USA",california,1.828
el segundo,39330|24435|5045,33.9191799,-118.4164652,"113 W Grand Ave, El Segundo, CA 90245, USA",california,2.612
elk grove,36335|19643|171,38.4087993,-121.3716178,"8896 Elk Grove Blvd, Elk Grove, CA 95624, USA",california,1.024
emeryville,27373|8089|40994,37.831316,-122.2852473,"1301-1333 Park Ave, Emeryville, CA 94608, USA",california,3.296
encinitas,36933|20243|728,33.0369867,-117.2919818,"1163 S Coast Hwy 101, Encinitas, CA 92024, USA",california,2.306
escalon,40230|24690|8221,37.7974273,-120.9966033,"1404 Main St, Escalon, CA 95320, USA",california,1.094
escondido,36314|19622|204,33.1192068,-117.086421,"970 W Valley Parkway #1006, Escondido, CA 92025, United States",california,1.588
etna,51952|31824|12850,41.4568065,-122.8947551,"450 Pig Alley, Etna, CA 96027, USA",california,
eureka,37263|20575|1137,40.8020712,-124.1636729,"503 H St, Eureka, CA 95501, USA",california,0.982
exeter,39431|24454|5055,36.2960613,-119.1420517,"201 N F St, Exeter, CA 93221, USA",california,0.89
fairfax town,41622|27700|8487,37.9871454,-122.5888686,"POB 74, Fairfax, CA 94930, United States",california,2.52
fairfield,36506|19816|337,38.2491956,-122.0405151,"600 Texas St, Fairfield, CA 94533, USA",california,1.358
farmersville,42586|27926|8504,36.2977283,-119.2067767,"161 E Visalia Rd, Farmersville, CA 93223, USA",california,0.934
ferndale,46860|29800|14357,40.5762406,-124.2639441,"394 Main St, Fortuna, CA 95540, USA",california,
fillmore,39094|23610|5067,34.3991639,-118.918154,"348 A St, Fillmore, CA 93015, USA",california,1.678
firebaugh,39696|27478|8243,36.8588376,-120.4560072,"1101 O St, Firebaugh, CA 93622, USA",california,1.028
folsom,36759|20075|552,38.6779591,-121.1760583,"600-698 Sutter St, Folsom, CA 95630, USA",california,1.208
fontana,36267|19576|97,34.0922335,-117.435048,"16932 Merrill Ave, Fontana, CA 92335, USA",california,1.31
fort bragg,40037|26825|7537,39.445723,-123.8052935,"125 E Laurel St, Fort Bragg, CA 95437, USA",california,
fort jones,48490|30581|13345,41.6076387,-122.8403099,"29 Sterling St, Fort Jones, CA 96032, USA",california,
fortuna,40253|27516|8245,40.5981867,-124.1572756,"926 Main St, Fortuna, CA 95540, USA",california,0.974
fountain valley,37020|20332|842,33.7090212,-117.9544069,"Brookhurst-Slater, Fountain Valley, CA 92708, USA",california,1.826
fowler,42918|28035|8552,36.6305058,-119.6784697,"207 E Merced St, Fowler, CA 93625, USA",california,0.862
fremont,19574|103|36265,37.5482697,-121.9885719,"4025 Mowry Ave, Fremont, CA 94538, USA",california,2.252
fresno,36185|19498|34,36.7377981,-119.7871247,"2323 Mariposa St, Fresno, CA 93721, USA",california,0.916
fullerton,36392|19696|215,33.8703645,-117.9242123,"162-100 El Camino Real, Fullerton, CA 92832, USA",california,1.926
galt,37729|23519|4184,38.2546373,-121.2999485,"814 A St, Galt, CA 95632, USA",california,1.19
garden grove,36311|19620|161,33.7742692,-117.9379952,"12999 S Euclid St, Garden Grove, CA 92843, USA",california,2.118
gardena,36975|20282|732,33.8883487,-118.3089624,"Redondo Beach Bl & Western Ave, Gardena, CA 90247, USA",california,2.046
gilroy,36958|20266|746,37.0057816,-121.5682751,"7353 Monterey Rd, Gilroy, CA 95020, USA",california,1.738
glendale,36289|19598|129,34.1425078,-118.255075,"100 E Colorado St, Glendale, CA 91204, USA",california,2.134
glendora,37083|20391|877,34.1361187,-117.865339,"100 N Glendora Ave, Glendora, CA 91741, USA",california,1.658
goleta,38104|24234|4901,34.4358294,-119.8276389,"5842 Hollister Ave, Goleta, CA 93117, USA",california,
gonzales,41386|27661|9679,36.5066295,-121.4443806,"338 Alta St, Gonzales, CA 93926, USA",california,1.5
grand terrace,40544|24805|5285,34.0339031,-117.3136544,"22483 Barton Rd, Grand Terrace, CA 92313, USA",california,1.244
